Time,avg(flux)
6.45,-3.34592e-06
6.525,-3.77215e-06
6.6,-4.23723e-06
6.675,-4.77766e-06
6.75,-5.35747e-06
6.825,-6.04637e-06
6.9,-6.83337e-06
6.975,-7.71437e-06
7.05,-8.69477e-06
7.125,-9.78187e-06
7.2,-1.10055e-05
7.275,-1.23918e-05
7.35,-1.39091e-05
7.425,-1.57101e-05
7.5,-1.77489e-05
7.575,-2.00319e-05
7.65,-2.25807e-05
7.725,-2.54287e-05
7.8,-2.86421e-05
7.875,-3.22584e-05
7.95,-3.6328e-05
8.025,-4.08451e-05
8.1,-4.58108e-05
8.175,-5.12321e-05
8.25,-5.71306e-05
8.325,-6.35246e-05
8.4,-7.04496e-05
8.475,-7.79096e-05
8.55,-8.58943e-05
8.625,-9.43755e-05
8.7,-0.000103371
8.775,-0.000112835
8.85,-0.000122775
8.925,-0.00013321
9,-0.000144044
9.075,-0.000155251
9.15,-0.000166721
9.225,-0.000178362
9.3,-0.000190009
9.375,-0.000201525
9.45,-0.000212727
9.525,-0.000223338
9.6,-0.000233054
9.675,-0.000241582
9.75,-0.000248475
9.825,-0.000253392
9.9,-0.000255447
9.975,-0.000253999
10.05,-0.000248083
10.125,-0.000236917
10.2,-0.000219169
10.275,-0.00019462
10.35,-0.000161843
10.425,-0.000118014
10.5,-6.41812e-05
10.575,-3.70583e-07
10.65,7.20738e-05
10.725,0.000149692
10.8,0.000228573
10.875,0.000302328
10.95,0.000362779
11.025,0.000408428
11.1,0.000432305
11.175,0.000432645
11.25,0.000411974
11.325,0.000374165
11.4,0.000325108
11.475,0.000272301
11.55,0.000221898
11.625,0.000179088
11.7,0.000146439
11.775,0.000125358
11.85,0.000115312
11.925,0.000113449
12,0.000117272
12.075,0.00012322
12.15,0.000128015
12.225,0.000129312
12.3,0.000125739
12.375,0.000116796
12.45,0.000103084
12.525,8.62769e-05
12.6,6.83899e-05
12.675,5.15066e-05
12.75,3.73687e-05
12.825,2.71249e-05
12.9,2.1135e-05
12.975,1.91211e-05
13.05,2.01327e-05
13.125,2.27929e-05
13.2,2.56684e-05
13.275,2.75938e-05
13.35,2.76028e-05
13.425,2.54362e-05
13.5,2.10553e-05
13.575,1.52589e-05
13.65,9.2282e-06
13.725,3.88642e-06
