Points_0,Points_1,Points_2,U_0,U_1,U_2
8,-0.01,0,0,0,0
8,-0.01,3.4e-05,0.00617023,1.54054e-36,-6.17806e-07
8,-0.01,6.8e-05,0.0123405,3.08108e-36,-1.23561e-06
8,-0.01,0.000102,0.0185107,4.62162e-36,-1.85342e-06
8,-0.01,0.000136,0.0245503,4.81919e-36,-2.77984e-06
8,-0.01,0.00017,0.0304908,3.99791e-36,-3.94039e-06
8,-0.01,0.000204,0.0364313,3.17662e-36,-5.10095e-06
8,-0.01,0.000238,0.0423165,2.05479e-36,-6.33524e-06
8,-0.01,0.000272,0.0478543,-9.56108e-37,-8.03298e-06
8,-0.01,0.000306,0.0533921,-3.967e-36,-9.73072e-06
8,-0.01,0.00034,0.0589299,-6.97789e-36,-1.14285e-05
8,-0.01,0.000374,0.0641059,-7.96548e-36,-1.3325e-05
8,-0.01,0.000408,0.0691311,-8.11002e-36,-1.53045e-05
8,-0.01,0.000442,0.0741563,-8.25457e-36,-1.72839e-05
8,-0.01,0.000476,0.0790248,-7.96844e-36,-1.92893e-05
8,-0.01,0.00051,0.0834792,-6.54403e-36,-2.13632e-05
8,-0.01,0.000544,0.0879336,-5.11961e-36,-2.34371e-05
8,-0.01,0.000578,0.092388,-3.6952e-36,-2.55109e-05
8,-0.01,0.000612,0.0963445,-1.25406e-36,-2.75624e-05
8,-0.01,0.000646,0.100208,1.37621e-36,-2.96097e-05
8,-0.01,0.00068,0.104072,4.0065e-36,-3.1657e-05
8,-0.01,0.000714,0.107697,6.02994e-36,-3.36585e-05
8,-0.01,0.000748,0.11098,7.18648e-36,-3.55947e-05
8,-0.01,0.000782,0.114262,8.34302e-36,-3.75308e-05
8,-0.01,0.000816,0.117545,9.49955e-36,-3.94669e-05
8,-0.01,0.00085,0.120286,1.74171e-35,-4.12362e-05
8,-0.01,0.000884,0.123017,2.547e-35,-4.30022e-05
8,-0.01,0.000918,0.125747,3.35229e-35,-4.47682e-05
8,-0.01,0.000952,0.128198,3.73287e-35,-4.64203e-05
8,-0.01,0.000986,0.130419,3.7646e-35,-4.79789e-05
8,-0.01,0.00102,0.132639,3.79632e-35,-4.95375e-05
8,-0.01,0.001054,0.134806,3.69732e-35,-5.10694e-05
8,-0.01,0.001088,0.136567,2.61787e-35,-5.24012e-05
8,-0.01,0.001122,0.138328,1.53843e-35,-5.3733e-05
8,-0.01,0.001156,0.140089,4.58985e-36,-5.50648e-05
8,-0.01,0.00119,0.141572,-5.623e-37,-5.62369e-05
8,-0.01,0.001224,0.142928,-3.13391e-36,-5.7336e-05
8,-0.01,0.001258,0.144284,-5.70553e-36,-5.84352e-05
8,-0.01,0.001292,0.14555,-1.08543e-35,-5.94757e-05
8,-0.01,0.001326,0.146555,-2.35326e-35,-6.03451e-05
8,-0.01,0.00136,0.147559,-3.62109e-35,-6.12145e-05
8,-0.01,0.001394,0.148564,-4.88892e-35,-6.20839e-05
8,-0.01,0.001428,0.149323,-5.70453e-35,-6.27715e-05
8,-0.01,0.001462,0.150029,-6.42324e-35,-6.34202e-05
8,-0.01,0.001496,0.150736,-7.14196e-35,-6.40689e-05
8,-0.01,0.00153,0.151345,-7.27743e-35,-6.46383e-05
8,-0.01,0.001564,0.151803,-6.50849e-35,-6.5085e-05
8,-0.01,0.001598,0.152261,-5.73955e-35,-6.55317e-05
8,-0.01,0.001632,0.152719,-4.97061e-35,-6.59784e-05
8,-0.01,0.001666,0.152983,-3.84094e-35,-6.62496e-05
8,-0.01,0.0017,0.153238,-2.69659e-35,-6.65137e-05
8,-0.01,0.001734,0.153494,-1.55223e-35,-6.67778e-05
8,-0.01,0.001768,0.153664,-8.55708e-36,-6.69536e-05
8,-0.01,0.001802,0.153758,-5.57257e-36,-6.70508e-05
8,-0.01,0.001836,0.153852,-2.58805e-36,-6.71481e-05
8,-0.01,0.00187,0.153934,-4.1742e-37,-6.72314e-05
8,-0.01,0.001904,0.153903,-5.74265e-36,-6.71852e-05
8,-0.01,0.001938,0.153872,-1.10679e-35,-6.71391e-05
8,-0.01,0.001972,0.153842,-1.63932e-35,-6.7093e-05
8,-0.01,0.002006,0.153748,-1.22609e-35,-6.69631e-05
8,-0.01,0.00204,0.153623,-3.40201e-36,-6.67912e-05
8,-0.01,0.002074,0.153499,5.45688e-36,-6.66194e-05
8,-0.01,0.002108,0.153358,1.08619e-35,-6.64221e-05
8,-0.01,0.002142,0.153166,5.04202e-36,-6.61424e-05
8,-0.01,0.002176,0.152974,-7.77872e-37,-6.58627e-05
8,-0.01,0.00221,0.152782,-6.59776e-36,-6.5583e-05
8,-0.01,0.002244,0.152554,-4.56043e-36,-6.52317e-05
8,-0.01,0.002278,0.152317,-6.05547e-37,-6.48629e-05
8,-0.01,0.002312,0.15208,3.34931e-36,-6.44941e-05
8,-0.01,0.002346,0.151834,7.08093e-36,-6.40978e-05
8,-0.01,0.00238,0.15157,1.04367e-35,-6.3655e-05
8,-0.01,0.002414,0.151307,1.37925e-35,-6.32122e-05
8,-0.01,0.002448,0.151043,1.71482e-35,-6.27695e-05
8,-0.01,0.002482,0.150768,1.1602e-35,-6.22719e-05
8,-0.01,0.002516,0.150493,5.49951e-36,-6.17709e-05
8,-0.01,0.00255,0.150217,-6.03033e-37,-6.12699e-05
8,-0.01,0.002584,0.149942,1.14577e-36,-6.0745e-05
8,-0.01,0.002618,0.149666,1.0447e-35,-6.0197e-05
8,-0.01,0.002652,0.14939,1.97482e-35,-5.9649e-05
8,-0.01,0.002686,0.149115,2.69872e-35,-5.90982e-05
8,-0.01,0.00272,0.148847,1.00266e-35,-5.85138e-05
8,-0.01,0.002754,0.14858,-6.93405e-36,-5.79295e-05
8,-0.01,0.002788,0.148312,-2.38947e-35,-5.73451e-05
8,-0.01,0.002822,0.148054,-3.30349e-35,-5.6743e-05
8,-0.01,0.002856,0.147801,-3.79095e-35,-5.61313e-05
8,-0.01,0.00289,0.147549,-4.27841e-35,-5.55195e-05
8,-0.01,0.002924,0.1473,-4.22357e-35,-5.49035e-05
8,-0.01,0.002958,0.147066,-2.19558e-35,-5.42719e-05
8,-0.01,0.002992,0.146833,-1.67591e-36,-5.36402e-05
8,-0.01,0.003026,0.146599,1.8604e-35,-5.30086e-05
8,-0.01,0.00306,0.146383,2.72139e-35,-5.23664e-05
8,-0.01,0.003094,0.146171,3.26165e-35,-5.17212e-05
8,-0.01,0.003128,0.145959,3.80191e-35,-5.1076e-05
8,-0.01,0.003162,0.145756,3.83946e-35,-5.04278e-05
8,-0.01,0.003196,0.145568,2.95539e-35,-4.9774e-05
8,-0.01,0.00323,0.14538,2.0713e-35,-4.91203e-05
8,-0.01,0.003264,0.145192,1.18722e-35,-4.84665e-05
8,-0.01,0.003298,0.145025,-8.16615e-36,-4.78085e-05
8,-0.01,0.003332,0.144861,-2.91588e-35,-4.71502e-05
8,-0.01,0.003366,0.144697,-5.01515e-35,-4.64918e-05
8,-0.01,0.0034,0.144544,-6.25147e-35,-4.58327e-05
8,-0.01,0.003434,0.144404,-6.59067e-35,-4.51729e-05
8,-0.01,0.003468,0.144263,-6.92986e-35,-4.45131e-05
8,-0.01,0.003502,0.144124,-7.23735e-35,-4.38534e-05
8,-0.01,0.003536,0.144006,-7.03747e-35,-4.31944e-05
8,-0.01,0.00357,0.143888,-6.83759e-35,-4.25354e-05
8,-0.01,0.003604,0.14377,-6.63771e-35,-4.18763e-05
8,-0.01,0.003638,0.143665,-5.78727e-35,-4.12188e-05
8,-0.01,0.003672,0.143569,-4.5504e-35,-4.05622e-05
8,-0.01,0.003706,0.143472,-3.31353e-35,-3.99056e-05
8,-0.01,0.00374,0.143379,-2.09888e-35,-3.92497e-05
