Time,avg(flux)
5.1,2.68055e-06
5.13,3.06516e-06
5.16,3.50201e-06
5.19,3.99625e-06
5.22,4.55602e-06
5.25,5.18979e-06
5.28,5.90508e-06
5.31,6.71719e-06
5.34,7.62987e-06
5.37,8.66204e-06
5.4,9.82356e-06
5.43,1.11223e-05
5.46,1.26035e-05
5.49,1.4256e-05
5.52,1.61017e-05
5.55,1.82006e-05
5.58,2.05242e-05
5.61,2.31333e-05
5.64,2.60514e-05
5.67,2.93276e-05
5.7,3.29519e-05
5.73,3.69957e-05
5.76,4.14948e-05
5.79,4.64604e-05
5.82,5.20428e-05
5.85,5.81789e-05
5.88,6.49734e-05
5.91,7.24407e-05
5.94,8.06529e-05
5.97,8.96917e-05
6,9.95973e-05
6.03,0.000110434
6.06,0.000122255
6.09,0.000135059
6.12,0.000149036
6.15,0.000163971
6.18,0.000180117
6.21,0.000197369
6.24,0.000215675
6.27,0.000235087
6.3,0.000255599
6.33,0.000277017
6.36,0.000299197
6.39,0.00032214
6.42,0.000345521
6.45,0.000369186
6.48,0.000392915
6.51,0.000416449
6.54,0.000439372
6.57,0.00046151
6.6,0.00048245
6.63,0.000501886
6.66,0.000519441
6.69,0.00053474
6.72,0.000547529
6.75,0.000557341
6.78,0.000564211
6.81,0.00056795
6.84,0.000568221
6.87,0.000565167
6.9,0.000558736
6.93,0.000549082
6.96,0.000536328
6.99,0.000520732
7.02,0.000502203
7.05,0.000481573
7.08,0.000458952
7.11,0.000434834
7.14,0.000409403
7.17,0.000383057
7.2,0.000356187
7.23,0.000329141
7.26,0.000302171
7.29,0.000275581
7.32,0.00024963
7.35,0.000224503
7.38,0.000200291
7.41,0.000177192
7.44,0.000156931
7.47,0.000137921
7.5,0.00012002
7.53,0.000103415
7.56,8.79459e-05
7.59,7.37353e-05
7.62,6.06181e-05
7.65,4.86743e-05
7.68,3.77392e-05
7.71,2.78592e-05
7.74,1.88818e-05
7.77,1.08315e-05
7.8,3.56667e-06
7.83,-2.89931e-06
7.86,-8.69554e-06
7.89,-1.38156e-05
7.92,-1.83719e-05
7.95,-2.23629e-05
7.98,-2.58852e-05
8.01,-2.89384e-05
8.04,-3.16045e-05
8.07,-3.38833e-05
8.1,-3.58433e-05
8.13,-3.74831e-05
8.16,-3.88597e-05
8.19,-3.99709e-05
8.22,-4.08633e-05
