Points_0,Points_1,Points_2,U_0,U_1,U_2
8,-0.01,0,0,0,0
8,-0.01,3.4e-05,0.00616526,9.32378e-37,-7.84995e-07
8,-0.01,6.8e-05,0.0123305,1.86476e-36,-1.56999e-06
8,-0.01,0.000102,0.0184958,2.79713e-36,-2.35499e-06
8,-0.01,0.000136,0.0244006,4.84994e-36,-3.49985e-06
8,-0.01,0.00017,0.030108,7.75275e-36,-4.91772e-06
8,-0.01,0.000204,0.0358153,1.06556e-35,-6.33559e-06
8,-0.01,0.000238,0.0414382,1.26643e-35,-7.83345e-06
8,-0.01,0.000272,0.0465304,9.05377e-36,-9.83406e-06
8,-0.01,0.000306,0.0516226,5.44321e-36,-1.18347e-05
8,-0.01,0.00034,0.0567147,1.83264e-36,-1.38353e-05
8,-0.01,0.000374,0.0613175,2.20275e-36,-1.60032e-05
8,-0.01,0.000408,0.0657164,4.23146e-36,-1.82409e-05
8,-0.01,0.000442,0.0701153,6.26017e-36,-2.04786e-05
8,-0.01,0.000476,0.0743185,8.57079e-36,-2.27153e-05
8,-0.01,0.00051,0.0780046,1.16265e-35,-2.49495e-05
8,-0.01,0.000544,0.0816907,1.46822e-35,-2.71836e-05
8,-0.01,0.000578,0.0853768,1.77378e-35,-2.94178e-05
8,-0.01,0.000612,0.0884802,1.46603e-35,-3.15265e-05
8,-0.01,0.000646,0.0914752,1.04417e-35,-3.36118e-05
8,-0.01,0.00068,0.0944702,6.22311e-36,-3.56971e-05
8,-0.01,0.000714,0.0972011,5.68895e-36,-3.76835e-05
8,-0.01,0.000748,0.0995547,1.04182e-35,-3.95286e-05
8,-0.01,0.000782,0.101908,1.51475e-35,-4.13737e-05
8,-0.01,0.000816,0.104262,1.98768e-35,-4.32188e-05
8,-0.01,0.00085,0.106053,1.62921e-35,-4.47757e-05
8,-0.01,0.000884,0.107832,1.25409e-35,-4.63268e-05
8,-0.01,0.000918,0.109611,8.7898e-36,-4.78779e-05
8,-0.01,0.000952,0.111116,2.53091e-36,-4.92544e-05
8,-0.01,0.000986,0.112396,-5.78789e-36,-5.04874e-05
8,-0.01,0.00102,0.113676,-1.41066e-35,-5.17205e-05
8,-0.01,0.001054,0.114907,-2.13067e-35,-5.29156e-05
8,-0.01,0.001088,0.115765,-2.01164e-35,-5.3826e-05
8,-0.01,0.001122,0.116624,-1.89261e-35,-5.47364e-05
8,-0.01,0.001156,0.117482,-1.77359e-35,-5.56468e-05
8,-0.01,0.00119,0.118103,-1.60477e-35,-5.63483e-05
8,-0.01,0.001224,0.118615,-1.41317e-35,-5.69543e-05
8,-0.01,0.001258,0.119127,-1.22158e-35,-5.75602e-05
8,-0.01,0.001292,0.119569,-1.0452e-35,-5.80957e-05
8,-0.01,0.001326,0.119805,-9.13242e-36,-5.84256e-05
8,-0.01,0.00136,0.120041,-7.81287e-36,-5.87555e-05
8,-0.01,0.001394,0.120277,-6.49331e-36,-5.90854e-05
8,-0.01,0.001428,0.120337,-5.65628e-36,-5.92108e-05
8,-0.01,0.001462,0.120361,-4.92266e-36,-5.92924e-05
8,-0.01,0.001496,0.120384,-4.18903e-36,-5.9374e-05
8,-0.01,0.00153,0.120346,-2.85006e-36,-5.93719e-05
8,-0.01,0.001564,0.120211,-5.72418e-37,-5.924e-05
8,-0.01,0.001598,0.120077,1.70521e-36,-5.91082e-05
8,-0.01,0.001632,0.119943,3.98285e-36,-5.89763e-05
8,-0.01,0.001666,0.119702,1.38314e-36,-5.8669e-05
8,-0.01,0.0017,0.119457,-1.41513e-36,-5.83546e-05
8,-0.01,0.001734,0.119212,-4.21341e-36,-5.80402e-05
8,-0.01,0.001768,0.118928,-7.00073e-36,-5.76462e-05
8,-0.01,0.001802,0.118611,-9.77834e-36,-5.71814e-05
8,-0.01,0.001836,0.118294,-1.25559e-35,-5.67165e-05
8,-0.01,0.00187,0.117972,-1.45291e-35,-5.62403e-05
8,-0.01,0.001904,0.117614,-9.0929e-36,-5.56586e-05
8,-0.01,0.001938,0.117256,-3.6567e-36,-5.5077e-05
8,-0.01,0.001972,0.116898,1.77951e-36,-5.44954e-05
8,-0.01,0.002006,0.116529,4.88744e-36,-5.38533e-05
8,-0.01,0.00204,0.116155,6.8318e-36,-5.31811e-05
8,-0.01,0.002074,0.115781,8.77617e-36,-5.25089e-05
8,-0.01,0.002108,0.115407,9.80454e-36,-5.18209e-05
8,-0.01,0.002142,0.115035,7.85594e-36,-5.10814e-05
8,-0.01,0.002176,0.114663,5.90734e-36,-5.03418e-05
8,-0.01,0.00221,0.114292,3.95875e-36,-4.96023e-05
8,-0.01,0.002244,0.113932,-2.88385e-36,-4.88251e-05
8,-0.01,0.002278,0.113576,-1.09208e-35,-4.80387e-05
8,-0.01,0.002312,0.11322,-1.89577e-35,-4.72523e-05
8,-0.01,0.002346,0.112873,-2.43165e-35,-4.64548e-05
8,-0.01,0.00238,0.112542,-2.51665e-35,-4.56383e-05
8,-0.01,0.002414,0.11221,-2.60166e-35,-4.48219e-05
8,-0.01,0.002448,0.111879,-2.68666e-35,-4.40055e-05
8,-0.01,0.002482,0.111576,-1.73663e-35,-4.3173e-05
8,-0.01,0.002516,0.111275,-7.21918e-36,-4.23396e-05
8,-0.01,0.00255,0.110974,2.92797e-36,-4.15062e-05
8,-0.01,0.002584,0.11069,3.94274e-36,-4.06695e-05
8,-0.01,0.002618,0.110423,-3.82714e-36,-3.98295e-05
8,-0.01,0.002652,0.110155,-1.1597e-35,-3.89896e-05
8,-0.01,0.002686,0.10989,-1.87491e-35,-3.81497e-05
8,-0.01,0.00272,0.109656,-1.86521e-35,-3.73113e-05
8,-0.01,0.002754,0.109422,-1.8555e-35,-3.64729e-05
8,-0.01,0.002788,0.109188,-1.84579e-35,-3.56345e-05
8,-0.01,0.002822,0.108976,-1.51123e-35,-3.48008e-05
8,-0.01,0.002856,0.108775,-9.99467e-36,-3.39696e-05
8,-0.01,0.00289,0.108574,-4.87711e-36,-3.31385e-05
8,-0.01,0.002924,0.10838,-3.20416e-36,-3.23097e-05
8,-0.01,0.002958,0.108211,-1.40645e-35,-3.14897e-05
8,-0.01,0.002992,0.108042,-2.49248e-35,-3.06696e-05
8,-0.01,0.003026,0.107872,-3.57852e-35,-2.98496e-05
8,-0.01,0.00306,0.107725,-3.70497e-35,-2.90404e-05
8,-0.01,0.003094,0.107584,-3.5677e-35,-2.82341e-05
8,-0.01,0.003128,0.107443,-3.43043e-35,-2.74278e-05
8,-0.01,0.003162,0.107311,-3.13808e-35,-2.66268e-05
8,-0.01,0.003196,0.107196,-2.56143e-35,-2.58355e-05
8,-0.01,0.00323,0.10708,-1.98477e-35,-2.50442e-05
8,-0.01,0.003264,0.106965,-1.40811e-35,-2.42528e-05
