Time,avg(H)
0.075,0.499933
0.15,0.499932
0.225,0.499931
0.3,0.499932
0.375,0.49993
0.45,0.499932
0.525,0.499932
0.6,0.499932
0.675,0.499932
0.75,0.499932
0.825,0.499932
0.9,0.499932
0.975,0.499932
1.05,0.499932
1.125,0.499932
1.2,0.499932
1.275,0.499932
1.35,0.499932
1.425,0.499932
1.5,0.499932
1.575,0.499932
1.65,0.499932
1.725,0.499932
1.8,0.499932
1.875,0.499932
1.95,0.499932
2.025,0.499933
2.1,0.499933
2.175,0.499934
2.25,0.499936
2.325,0.499938
2.4,0.499942
2.475,0.499947
2.55,0.499953
2.625,0.499962
2.7,0.499973
2.775,0.499988
2.85,0.500018
2.925,0.500084
3,0.500164
3.075,0.500257
3.15,0.500364
3.225,0.500484
3.3,0.500613
3.375,0.500747
3.45,0.500883
3.525,0.501017
3.6,0.501145
3.675,0.501264
3.75,0.501368
3.825,0.501452
3.9,0.501512
3.975,0.501538
4.05,0.501525
4.125,0.501466
4.2,0.501344
4.275,0.501127
4.35,0.500741
4.425,0.500028
4.5,0.499597
4.575,0.49896
4.65,0.497887
4.725,0.497163
4.8,0.495912
4.875,0.495114
4.95,0.493883
5.025,0.493197
5.1,0.492307
5.175,0.491809
5.25,0.49173
5.325,0.491969
5.4,0.493092
5.475,0.494578
5.55,0.49688
5.625,0.499791
5.7,0.503641
5.775,0.50799
5.85,0.513129
5.925,0.518106
6,0.523148
6.075,0.527333
6.15,0.529992
6.225,0.531197
6.3,0.529822
6.375,0.526516
6.45,0.521268
6.525,0.514518
6.6,0.506954
6.675,0.499155
6.75,0.491565
6.825,0.484768
6.9,0.478804
6.975,0.473832
7.05,0.470242
7.125,0.467946
7.2,0.467329
7.275,0.467731
7.35,0.469691
7.425,0.473171
7.5,0.477805
7.575,0.48383
7.65,0.49096
7.725,0.498644
7.8,0.506653
7.875,0.513981
7.95,0.520387
8.025,0.524922
8.1,0.527026
8.175,0.526613
8.25,0.524003
8.325,0.520249
8.4,0.515688
8.475,0.511066
8.55,0.506619
8.625,0.5028
8.7,0.49958
8.775,0.497185
8.85,0.495221
8.925,0.493553
9,0.491988
9.075,0.491018
9.15,0.48973
9.225,0.488912
9.3,0.487984
9.375,0.487863
9.45,0.488446
9.525,0.489716
9.6,0.491791
9.675,0.494755
9.75,0.497978
9.825,0.501724
9.9,0.505254
9.975,0.507853
10.05,0.509603
10.125,0.509845
10.2,0.508954
10.275,0.506615
10.35,0.503587
10.425,0.500306
10.5,0.497478
10.575,0.495279
10.65,0.493808
10.725,0.493622
10.8,0.494283
10.875,0.495795
10.95,0.497832
11.025,0.500022
11.1,0.502199
11.175,0.503942
11.25,0.505463
11.325,0.506419
11.4,0.507336
11.475,0.507995
11.55,0.509272
11.625,0.51045
11.7,0.511732
11.775,0.512856
11.85,0.513211
11.925,0.512362
12,0.51031
12.075,0.507145
12.15,0.502805
12.225,0.497821
12.3,0.493085
12.375,0.48853
12.45,0.484909
12.525,0.481967
12.6,0.480548
12.675,0.4799
12.75,0.480567
12.825,0.481877
12.9,0.484005
12.975,0.487032
13.05,0.490215
13.125,0.494012
13.2,0.49856
13.275,0.503533
13.35,0.50915
13.425,0.515112
13.5,0.521318
13.575,0.527301
13.65,0.531982
13.725,0.535042
13.8,0.535221
13.875,0.532365
13.95,0.527229
14.025,0.520218
