Points_0,Points_1,Points_2,U_0,U_1,U_2
8,-0.01,0,0,0,0
8,-0.01,3.4e-05,0.00536091,0,-6.30863e-07
8,-0.01,6.8e-05,0.0107218,0,-1.26173e-06
8,-0.01,0.000102,0.0160273,0,-2.0699e-06
8,-0.01,0.000136,0.0211979,0,-3.31006e-06
8,-0.01,0.00017,0.0263684,0,-4.55022e-06
8,-0.01,0.000204,0.0313738,0,-6.16323e-06
8,-0.01,0.000238,0.0362605,0,-8.04401e-06
8,-0.01,0.000272,0.0411472,0,-9.92478e-06
8,-0.01,0.000306,0.045727,0,-1.21522e-05
8,-0.01,0.00034,0.0502621,0,-1.443e-05
8,-0.01,0.000374,0.0547325,0,-1.67428e-05
8,-0.01,0.000408,0.0588733,0,-1.92338e-05
8,-0.01,0.000442,0.0630142,0,-2.17247e-05
8,-0.01,0.000476,0.0669658,0,-2.42558e-05
8,-0.01,0.00051,0.0706909,0,-2.68349e-05
8,-0.01,0.000544,0.074416,0,-2.9414e-05
8,-0.01,0.000578,0.0778275,0,-3.19887e-05
8,-0.01,0.000612,0.0811324,0,-3.45619e-05
8,-0.01,0.000646,0.0844219,0,-3.71322e-05
8,-0.01,0.00068,0.0873149,0,-3.96275e-05
8,-0.01,0.000714,0.0902078,0,-4.21227e-05
8,-0.01,0.000748,0.0929714,0,-4.45753e-05
8,-0.01,0.000782,0.0954703,0,-4.69404e-05
8,-0.01,0.000816,0.0979691,0,-4.93055e-05
8,-0.01,0.00085,0.100239,0,-5.15681e-05
8,-0.01,0.000884,0.102368,0,-5.37678e-05
8,-0.01,0.000918,0.104496,0,-5.59674e-05
8,-0.01,0.000952,0.106314,0,-5.79968e-05
8,-0.01,0.000986,0.108101,0,-6.00094e-05
8,-0.01,0.00102,0.109826,0,-6.19822e-05
8,-0.01,0.001054,0.111302,0,-6.3797e-05
8,-0.01,0.001088,0.112778,0,-6.56119e-05
8,-0.01,0.001122,0.114116,0,-6.73281e-05
8,-0.01,0.001156,0.115313,0,-6.89424e-05
8,-0.01,0.00119,0.116509,0,-7.05567e-05
8,-0.01,0.001224,0.11751,0,-7.20172e-05
8,-0.01,0.001258,0.118458,0,-7.3435e-05
8,-0.01,0.001292,0.119389,-0,-7.48388e-05
8,-0.01,0.001326,0.120118,-0,-7.6068e-05
8,-0.01,0.00136,0.120847,-0,-7.72973e-05
8,-0.01,0.001394,0.121506,-0,-7.84617e-05
8,-0.01,0.001428,0.122045,-0,-7.95137e-05
8,-0.01,0.001462,0.122583,-0,-8.05657e-05
8,-0.01,0.001496,0.123014,-0,-8.15096e-05
8,-0.01,0.00153,0.123389,-0,-8.2397e-05
8,-0.01,0.001564,0.123764,-0,-8.32844e-05
8,-0.01,0.001598,0.124006,-0,-8.40278e-05
8,-0.01,0.001632,0.124241,-0,-8.47633e-05
8,-0.01,0.001666,0.124448,-0,-8.54666e-05
8,-0.01,0.0017,0.124565,-0,-8.60674e-05
8,-0.01,0.001734,0.124683,-0,-8.66681e-05
8,-0.01,0.001768,0.124748,0,-8.72059e-05
8,-0.01,0.001802,0.124768,0,-8.76878e-05
8,-0.01,0.001836,0.124787,0,-8.81696e-05
8,-0.01,0.00187,0.124741,0,-8.85605e-05
8,-0.01,0.001904,0.12468,0,-8.89314e-05
8,-0.01,0.001938,0.124612,-0,-8.92919e-05
8,-0.01,0.001972,0.124487,-0,-8.95693e-05
8,-0.01,0.002006,0.124361,-0,-8.98467e-05
8,-0.01,0.00204,0.124215,-0,-9.00928e-05
8,-0.01,0.002074,0.124038,-0,-9.02923e-05
8,-0.01,0.002108,0.123861,-0,-9.04918e-05
8,-0.01,0.002142,0.123656,0,-9.06405e-05
8,-0.01,0.002176,0.123439,0,-9.07668e-05
8,-0.01,0.00221,0.123221,0,-9.0893e-05
8,-0.01,0.002244,0.122975,0,-9.09604e-05
8,-0.01,0.002278,0.122728,0,-9.10269e-05
8,-0.01,0.002312,0.122475,0,-9.10796e-05
8,-0.01,0.002346,0.122207,0,-9.10963e-05
8,-0.01,0.00238,0.121938,0,-9.1113e-05
8,-0.01,0.002414,0.121662,-0,-9.11042e-05
8,-0.01,0.002448,0.121379,-0,-9.10759e-05
8,-0.01,0.002482,0.121096,-0,-9.10475e-05
8,-0.01,0.002516,0.120807,-0,-9.09882e-05
8,-0.01,0.00255,0.120516,-0,-9.09238e-05
8,-0.01,0.002584,0.120225,0,-9.08549e-05
8,-0.01,0.002618,0.119931,0,-9.07608e-05
