Time,avg(flux)
22.6125,0.00672555
22.725,0.0067014
22.8375,0.00661165
22.95,0.0065032
23.0625,0.00642178
23.175,0.00637297
23.2875,0.00632653
23.4,0.0062498
23.5125,0.00615102
23.625,0.00606243
23.7375,0.00599157
23.85,0.00591204
23.9625,0.00579508
24.075,0.00563744
24.1875,0.00546117
24.3,0.00529116
24.4125,0.00513523
24.525,0.00498634
24.6375,0.00483293
24.75,0.00466578
24.8625,0.00448317
24.975,0.00429208
25.0875,0.0041022
25.2,0.00391809
25.3125,0.0037363
25.425,0.0035523
25.5375,0.00336746
25.65,0.00318755
25.7625,0.00301468
25.875,0.00284382
25.9875,0.00266641
26.1,0.00247625
26.2125,0.00227288
26.325,0.00206067
26.4375,0.00184457
26.55,0.00162623
26.6625,0.0014051
26.775,0.00118234
26.8875,0.000961989
27,0.000747773
27.1125,0.000540513
27.225,0.000338737
27.3375,0.000141511
27.45,-5.02387e-05
27.5625,-0.000235049
27.675,-0.000413514
27.7875,-0.00058903
27.9,-0.000766162
28.0125,-0.0009479
28.125,-0.00113437
28.2375,-0.00132424
28.35,-0.0015159
28.4625,-0.00170891
28.575,-0.00190259
28.6875,-0.00209536
28.8,-0.00228427
28.9125,-0.00246679
29.025,-0.00264223
29.1375,-0.0028125
29.25,-0.00298054
29.3625,-0.0031478
29.475,-0.00331365
29.5875,-0.0034766
29.7,-0.00363564
29.8125,-0.00379078
29.925,-0.00394112
30.0375,-0.00408735
30.15,-0.0042322
30.2625,-0.00437765
30.375,-0.00452226
30.4875,-0.00466048
30.6,-0.00478918
30.7125,-0.00490654
30.825,-0.00501387
30.9375,-0.00511551
31.05,-0.00521695
31.1625,-0.00531888
31.275,-0.00541463
31.3875,-0.00549954
31.5,-0.00557604
31.6125,-0.00564803
31.725,-0.00571626
31.8375,-0.0057818
31.95,-0.00584667
32.0625,-0.00591396
32.175,-0.00598523
32.2875,-0.00605512
32.4,-0.00611865
32.5125,-0.00617833
32.625,-0.00623315
32.7375,-0.00628085
32.85,-0.00631506
32.9625,-0.00632367
33.075,-0.00629808
33.1875,-0.00624088
33.3,-0.00615743
33.4125,-0.00605059
33.525,-0.00592034
33.6375,-0.00577734
33.75,-0.00563489
33.8625,-0.00550062
33.975,-0.00537301
34.0875,-0.00524352
34.2,-0.00510502
34.3125,-0.00494619
34.425,-0.00474651
34.5375,-0.00448683
34.65,-0.00415668
34.7625,-0.00375639
34.875,-0.00329614
34.9875,-0.00279096
35.1,-0.00225593
35.2125,-0.00170453
35.325,-0.00114727
35.4375,-0.000590364
35.55,-3.59843e-05
35.6625,0.00051858
35.775,0.00107578
35.8875,0.00163536
36,0.00219198
36.1125,0.00273441
36.225,0.00324728
36.3375,0.00371491
36.45,0.00412397
36.5625,0.00446789
36.675,0.00475179
36.7875,0.0049922
36.9,0.00521309
37.0125,0.0054315
37.125,0.00565014
37.2375,0.0058586
37.35,0.00604328
37.4625,0.00620014
37.575,0.00632771
37.6875,0.00643859
37.8,0.00655704
37.9125,0.00669102
38.025,0.00681655
38.1375,0.00690338
38.25,0.00693398
38.3625,0.00690639
