Time,avg(flux)
13.3875,0.000358466
13.425,0.000338124
13.4625,0.000297807
13.5,0.00023986
13.5375,0.000167593
13.575,8.52013e-05
13.6125,-2.67256e-06
13.65,-9.09703e-05
13.6875,-0.00017426
13.725,-0.00024833
13.7625,-0.000309364
13.8,-0.000353545
13.8375,-0.000378377
13.875,-0.000382552
13.9125,-0.000365749
13.95,-0.000328776
13.9875,-0.000273973
14.025,-0.000203823
14.0625,-0.000122199
14.1,-3.40262e-05
14.1375,5.56543e-05
14.175,0.000141307
14.2125,0.000218349
14.25,0.000282331
14.2875,0.000329515
14.325,0.000357069
14.3625,0.000363426
