Time,avg(flux)
22.725,0.00201942
22.8375,0.00202897
22.95,0.0020338
23.0625,0.00203374
23.175,0.00202906
23.2875,0.00202052
23.4,0.0020088
23.5125,0.00199442
23.625,0.00197749
23.7375,0.00195756
23.85,0.00193351
23.9625,0.00190541
24.075,0.00187247
24.1875,0.00183573
24.3,0.00179567
24.4125,0.00175224
24.525,0.00170558
24.6375,0.00165575
24.75,0.0016037
24.8625,0.00154947
24.975,0.00149344
25.0875,0.00143441
25.2,0.00137207
25.3125,0.00130589
25.425,0.00123727
25.5375,0.00116508
25.65,0.00109038
25.7625,0.00101362
25.875,0.000935054
25.9875,0.000854547
26.1,0.000772751
26.2125,0.000689963
26.325,0.000605996
26.4375,0.000520826
26.55,0.000434049
26.6625,0.00034574
26.775,0.000256262
26.8875,0.000166077
27,7.56316e-05
27.1125,-1.48917e-05
27.225,-0.000105391
27.3375,-0.000195681
27.45,-0.000285746
27.5625,-0.000375566
27.675,-0.0004652
27.7875,-0.000554747
27.9,-0.000644064
28.0125,-0.000733068
28.125,-0.000821284
28.2375,-0.000908453
28.35,-0.000994545
28.4625,-0.00107993
28.575,-0.00116405
28.6875,-0.00124726
28.8,-0.00132934
28.9125,-0.00141039
29.025,-0.00149029
29.1375,-0.00156918
29.25,-0.00164708
29.3625,-0.00172362
29.475,-0.00179847
29.5875,-0.00187177
29.7,-0.0019426
29.8125,-0.00201068
29.925,-0.00207577
30.0375,-0.00213768
30.15,-0.00219613
30.2625,-0.00225108
30.375,-0.00230211
30.4875,-0.0023491
30.6,-0.00239191
30.7125,-0.0024306
30.825,-0.00246624
30.9375,-0.00249888
31.05,-0.00252875
31.1625,-0.00255591
31.275,-0.0025793
31.3875,-0.00259884
31.5,-0.00261403
31.6125,-0.00262445
31.725,-0.00262961
31.8375,-0.00262865
31.95,-0.00262206
32.0625,-0.0026106
32.175,-0.00259526
32.2875,-0.00257654
32.4,-0.00255415
32.5125,-0.00252788
32.625,-0.00249789
32.7375,-0.00246498
32.85,-0.00242835
32.9625,-0.00238751
33.075,-0.00234287
33.1875,-0.00229321
33.3,-0.00223919
33.4125,-0.00218017
33.525,-0.00211635
33.6375,-0.00204693
33.75,-0.00197296
33.8625,-0.0018938
33.975,-0.00181024
34.0875,-0.00172303
34.2,-0.00163151
34.3125,-0.00153696
34.425,-0.0014381
34.5375,-0.00133666
34.65,-0.00123144
34.7625,-0.0011246
34.875,-0.00101556
34.9875,-0.000903455
35.1,-0.000790597
35.2125,-0.000679719
35.325,-0.000569275
35.4375,-0.000459558
35.55,-0.000350174
35.6625,-0.00024099
35.775,-0.000132011
35.8875,-2.3278e-05
36,8.44315e-05
36.1125,0.000190476
36.225,0.000294044
36.3375,0.000394368
36.45,0.000490751
36.5625,0.00058122
36.675,0.000667583
36.7875,0.000749762
36.9,0.000828609
37.0125,0.000903896
37.125,0.000975965
37.2375,0.00104279
37.35,0.00110679
37.4625,0.00116608
37.575,0.00121958
37.6875,0.00126725
37.8,0.00131152
37.9125,0.00135221
38.025,0.00139015
38.1375,0.0014253
38.25,0.001456
38.3625,0.00148456
38.475,0.00150912
38.5875,0.00153027
38.7,0.00154988
38.8125,0.00156738
38.925,0.00158247
