Time,avg(flux)
33.6,0.000300806
33.9,0.000295597
34.2,0.000284333
34.5,0.000252892
34.8,0.000211606
35.1,0.000171454
35.4,0.000115253
35.7,4.36236e-05
36,-1.70784e-05
36.3,-6.68559e-05
36.6,-0.000119256
36.9,-0.000167064
37.2,-0.00019866
37.5,-0.000215428
37.8,-0.000218167
38.1,-0.000200419
38.4,-0.000158142
38.7,-9.80678e-05
39,-2.0994e-05
39.3,7.86924e-05
39.6,0.000196652
39.9,0.00032219
40.2,0.000449772
40.5,0.000576405
40.8,0.000695033
41.1,0.000795351
41.4,0.000871676
41.7,0.000923479
42,0.000948098
42.3,0.000944601
42.6,0.000917255
42.9,0.000867976
43.2,0.000798992
43.5,0.000709726
43.8,0.000600095
44.1,0.000474385
44.4,0.000343336
44.7,0.000213339
45,7.18565e-05
45.3,-7.64557e-05
45.6,-0.000223767
45.9,-0.000370169
46.2,-0.000509534
46.5,-0.00063356
46.8,-0.000740109
47.1,-0.000826242
47.4,-0.000891481
47.7,-0.000926302
48,-0.000924281
48.3,-0.000887677
48.6,-0.000808834
48.9,-0.000684081
49.2,-0.000508583
49.5,-0.000283035
49.8,-1.69499e-05
50.1,0.000287784
50.4,0.000617189
50.7,0.000944096
51,0.00124934
51.3,0.00152145
51.6,0.00173678
51.9,0.00188341
52.2,0.00197209
52.5,0.00199558
52.8,0.00195563
53.1,0.00187304
53.4,0.0017446
53.7,0.0015768
54,0.00138989
54.3,0.0011816
54.6,0.000952687
54.9,0.000718866
55.2,0.000479003
55.5,0.000230129
55.8,-1.26998e-05
56.1,-0.000243799
56.4,-0.000465825
56.7,-0.000672151
57,-0.00085708
57.3,-0.00101705
57.6,-0.00115151
57.9,-0.00126275
58.2,-0.00134399
58.5,-0.00138565
58.8,-0.00138094
59.1,-0.00133026
59.4,-0.001226
59.7,-0.0010528
60,-0.000803537
60.3,-0.000481815
60.6,-9.55393e-05
60.9,0.000342284
61.2,0.00080225
61.5,0.00124594
61.8,0.00164434
62.1,0.00197839
62.4,0.00222818
62.7,0.00240473
63,0.00247205
63.3,0.00243463
63.6,0.00234768
63.9,0.00222654
64.2,0.00205894
64.5,0.0018528
64.8,0.00162499
65.1,0.00138388
65.4,0.00113296
65.7,0.000873591
66,0.000609769
66.3,0.000345513
66.6,9.04862e-05
66.9,-0.000148582
67.2,-0.000371706
67.5,-0.000578787
67.8,-0.000768786
68.1,-0.000943838
68.4,-0.00109234
68.7,-0.00119386
69,-0.00123935
69.3,-0.00124274
69.6,-0.00122954
69.9,-0.00120695
70.2,-0.00114985
70.5,-0.0010102
70.8,-0.00077248
71.1,-0.000453244
71.4,-7.9248e-05
71.7,0.000320663
72,0.000697434
72.3,0.00104425
72.6,0.0014162
72.9,0.00189757
73.2,0.00222048
73.5,0.00225357
73.8,0.0022882
74.1,0.00231766
74.4,0.00217809
74.7,0.00202089
75,0.00191108
75.3,0.00174166
75.6,0.00149012
75.9,0.00123491
76.2,0.00100827
76.5,0.000797754
76.8,0.000589349
77.1,0.000378819
77.4,0.000173139
77.7,-2.10147e-05
78,-0.000209397
78.3,-0.000391878
78.6,-0.000558572
78.9,-0.000694129
79.2,-0.000781707
79.5,-0.000816036
79.8,-0.000797913
80.1,-0.000736989
80.4,-0.000652998
80.7,-0.00055498
81,-0.000441286
81.3,-0.000305476
81.6,-0.000138782
81.9,6.86732e-05
82.2,0.000310653
82.5,0.000578195
82.8,0.000850599
83.1,0.00109401
83.4,0.00124949
83.7,0.00130249
84,0.00124087
84.3,0.00118447
84.6,0.0012495
84.9,0.00134284
85.2,0.00138069
85.5,0.00136842
85.8,0.00129796
86.1,0.00116928
86.4,0.00101718
86.7,0.000869023
87,0.000735938
87.3,0.000606425
87.6,0.000478528
87.9,0.0003596
88.2,0.000259907
88.5,0.000180711
88.8,0.000115094
89.1,6.28804e-05
89.4,3.14164e-05
89.7,2.37198e-05
90,3.54302e-05
90.3,5.84384e-05
90.6,9.29488e-05
90.9,0.000139909
91.2,0.000196154
91.5,0.000258726
91.8,0.000324355
92.1,0.000388623
92.4,0.000446497
92.7,0.0004941
93,0.000523632
93.3,0.000522144
