Time,avg(H)
0.3,0.5
0.6,0.5
0.9,0.5
1.2,0.5
1.5,0.500001
1.8,0.500001
2.1,0.500008
2.4,0.500051
2.7,0.500249
3,0.501009
3.3,0.503841
3.6,0.512704
3.9,0.536025
4.2,0.579679
4.5,0.607194
4.8,0.571777
5.1,0.528563
5.4,0.508091
5.7,0.502949
6,0.502583
6.3,0.499703
6.6,0.491814
6.9,0.481105
7.2,0.470332
7.5,0.461613
7.8,0.456163
8.1,0.453437
8.4,0.450985
8.7,0.44632
9,0.440082
9.3,0.434726
9.6,0.433843
9.9,0.437326
10.2,0.439062
10.5,0.439321
10.8,0.440824
11.1,0.451298
11.4,0.467755
11.7,0.481986
12,0.498201
12.3,0.523262
12.6,0.53596
12.9,0.54654
13.2,0.557682
13.5,0.557083
13.8,0.563571
14.1,0.557176
14.4,0.55836
14.7,0.54927
15,0.54617
15.3,0.537144
15.6,0.531931
15.9,0.524686
16.2,0.518981
16.5,0.511763
16.8,0.504434
17.1,0.495537
17.4,0.489058
17.7,0.482204
18,0.478904
18.3,0.471611
18.6,0.468107
18.9,0.461722
19.2,0.460149
19.5,0.457438
19.8,0.454317
20.1,0.454157
20.4,0.453305
20.7,0.456074
21,0.457719
21.3,0.4622
21.6,0.468885
21.9,0.475593
22.2,0.48426
22.5,0.493948
22.8,0.502506
23.1,0.511201
23.4,0.518377
23.7,0.524508
24,0.528093
24.3,0.529905
24.6,0.530255
24.9,0.529366
25.2,0.527662
25.5,0.526033
25.8,0.52292
26.1,0.518951
26.4,0.515363
26.7,0.511604
27,0.507146
27.3,0.502852
27.6,0.499161
27.9,0.496398
28.2,0.493748
28.5,0.490141
28.8,0.486461
29.1,0.485462
29.4,0.485781
29.7,0.48465
30,0.483269
30.3,0.484222
30.6,0.486353
30.9,0.487447
31.2,0.489311
31.5,0.492278
31.8,0.494344
32.1,0.496516
32.4,0.500421
32.7,0.503386
33,0.504516
33.3,0.50556
33.6,0.506879
33.9,0.505683
34.2,0.503551
34.5,0.503313
34.8,0.502862
35.1,0.500027
35.4,0.4977
35.7,0.495863
36,0.492999
36.3,0.490945
36.6,0.489303
36.9,0.487617
37.2,0.486755
37.5,0.48493
37.8,0.483913
38.1,0.48501
38.4,0.486607
38.7,0.488486
39,0.490415
39.3,0.493622
39.6,0.498791
39.9,0.504193
40.2,0.509665
40.5,0.514641
40.8,0.520057
41.1,0.52524
41.4,0.528484
41.7,0.529542
42,0.531137
42.3,0.531468
42.6,0.529152
42.9,0.526641
43.2,0.524553
43.5,0.519901
43.8,0.51442
44.1,0.509617
44.4,0.504854
44.7,0.498902
45,0.492998
45.3,0.487866
45.6,0.483211
45.9,0.477961
46.2,0.472701
46.5,0.468087
46.8,0.464627
47.1,0.461503
47.4,0.458373
47.7,0.455903
48,0.454727
48.3,0.454742
48.6,0.455617
48.9,0.457504
49.2,0.461642
49.5,0.468504
49.8,0.477802
50.1,0.489298
50.4,0.503137
50.7,0.518717
51,0.532643
51.3,0.543431
51.6,0.552734
51.9,0.557577
52.2,0.560093
52.5,0.560622
52.8,0.557622
53.1,0.554565
53.4,0.548467
53.7,0.542115
54,0.535071
54.3,0.52663
54.6,0.519009
54.9,0.510859
55.2,0.502336
55.5,0.494759
55.8,0.486883
56.1,0.479217
56.4,0.472563
56.7,0.466026
57,0.459635
57.3,0.454164
