Time,avg(flux)
12.45,0.00024637
12.6,0.000226075
12.75,0.000127046
12.9,-4.41214e-06
13.05,-0.000127776
13.2,-0.000229873
13.35,-0.000301586
13.5,-0.000331832
13.65,-0.000305894
13.8,-0.000212337
13.95,-5.19379e-05
14.1,0.000161186
14.25,0.000402094
14.4,0.000637043
14.55,0.000822645
14.7,0.000914955
14.85,0.000882214
15,0.000727907
15.15,0.000489706
15.3,0.000209746
15.45,-7.22853e-05
15.6,-0.000327017
15.75,-0.000535642
15.9,-0.000694439
16.05,-0.000815746
16.2,-0.000914165
16.35,-0.00098834
16.5,-0.00101996
16.65,-0.000976587
16.8,-0.000816197
16.95,-0.00049322
17.1,2.76397e-05
17.25,0.000725803
17.4,0.00146805
17.55,0.0020191
17.7,0.00215388
17.85,0.00182185
18,0.00118347
18.15,0.000503763
18.3,-3.07137e-05
18.45,-0.000367521
18.6,-0.000549999
18.75,-0.000652171
18.9,-0.000739634
19.05,-0.000852486
19.2,-0.00100009
19.35,-0.00116565
19.5,-0.00131441
19.65,-0.00140169
19.8,-0.00137311
19.95,-0.00115912
20.1,-0.00067696
20.25,0.000131739
20.4,0.00120042
20.55,0.00221513
20.7,0.00271709
20.85,0.00245894
21,0.00162057
21.15,0.000644526
21.3,-0.000105151
21.45,-0.000509729
21.6,-0.000635121
21.75,-0.000614591
21.9,-0.00057574
22.05,-0.000606981
22.2,-0.000741832
22.35,-0.000959607
22.5,-0.00120386
22.65,-0.00140654
22.8,-0.00150484
22.95,-0.00144519
23.1,-0.00117032
23.25,-0.000617961
23.4,0.000235911
23.55,0.00126771
23.7,0.00214285
23.85,0.00248583
24,0.00215616
24.15,0.00136749
24.3,0.000497955
24.45,-0.000163273
24.6,-0.000521676
24.75,-0.00062126
24.9,-0.000575157
25.05,-0.000500937
25.2,-0.00048707
25.35,-0.000573975
25.5,-0.000746524
25.65,-0.000946709
25.8,-0.00109789
25.95,-0.00112745
26.1,-0.000988428
26.25,-0.00066276
26.4,-0.000167568
26.55,0.000430686
26.7,0.000994996
26.85,0.00136412
27,0.00143261
27.15,0.00120729
27.3,0.000798416
27.45,0.000354554
27.6,-1.08307e-06
27.75,-0.000216912
27.9,-0.000298708
28.05,-0.000289968
28.2,-0.000244657
28.35,-0.000206785
28.5,-0.000198757
28.65,-0.000211264
28.8,-0.000211152
28.95,-0.000162601
29.1,-5.12687e-05
29.25,0.000100848
29.4,0.000244958
29.55,0.000330072
