Time,avg(H)
0.225,0.5
0.45,0.5
0.675,0.5
0.9,0.500001
1.125,0.500001
1.35,0.500001
1.575,0.5
1.8,0.5
2.025,0.500001
2.25,0.500008
2.475,0.50003
2.7,0.500089
2.925,0.50024
3.15,0.500587
3.375,0.501311
3.6,0.502832
3.825,0.505324
4.05,0.509048
4.275,0.513415
4.5,0.516916
4.725,0.51705
4.95,0.512068
5.175,0.50246
5.4,0.490661
5.625,0.479302
5.85,0.470243
6.075,0.464298
6.3,0.462164
6.525,0.464811
6.75,0.473735
6.975,0.490331
7.2,0.513313
7.425,0.534557
7.65,0.542445
7.875,0.536491
8.1,0.527204
8.325,0.520442
8.55,0.514722
8.775,0.507705
9,0.500329
9.225,0.493968
9.45,0.488981
9.675,0.484099
9.9,0.479023
10.125,0.475139
10.35,0.474047
10.575,0.476212
10.8,0.480583
11.025,0.486292
11.25,0.494378
11.475,0.506194
11.7,0.517576
11.925,0.521153
12.15,0.518315
12.375,0.51596
12.6,0.513105
12.825,0.507278
13.05,0.502883
13.275,0.501452
13.5,0.498175
13.725,0.493094
13.95,0.491601
14.175,0.492724
14.4,0.492031
14.625,0.491975
14.85,0.495928
15.075,0.499277
15.3,0.500325
15.525,0.503072
15.75,0.50468
15.975,0.50228
16.2,0.501007
16.425,0.499713
16.65,0.496227
16.875,0.494668
17.1,0.493903
17.325,0.492104
17.55,0.492651
17.775,0.494984
18,0.497088
18.225,0.502487
18.45,0.508047
18.675,0.512537
18.9,0.516882
19.125,0.516677
19.35,0.51544
19.575,0.511077
19.8,0.507096
20.025,0.502362
20.25,0.497232
20.475,0.492444
20.7,0.486418
20.925,0.481848
21.15,0.477685
21.375,0.475492
21.6,0.476139
21.825,0.478501
22.05,0.48425
22.275,0.493319
22.5,0.506727
22.725,0.522636
22.95,0.535234
23.175,0.538237
23.4,0.53289
23.625,0.523875
23.85,0.515691
24.075,0.509095
24.3,0.502657
24.525,0.495856
24.75,0.488501
24.975,0.481308
25.2,0.474982
25.425,0.470351
25.65,0.467067
25.875,0.465435
26.1,0.466329
26.325,0.471402
26.55,0.482734
26.775,0.501289
27,0.525966
27.225,0.546407
27.45,0.549992
27.675,0.539237
27.9,0.526795
28.125,0.518067
28.35,0.511617
28.575,0.504863
28.8,0.496656
29.025,0.48814
29.25,0.480608
29.475,0.47481
29.7,0.470435
29.925,0.466945
30.15,0.465113
30.375,0.465878
30.6,0.470372
30.825,0.48019
31.05,0.496857
31.275,0.518474
31.5,0.537365
31.725,0.543396
31.95,0.536126
32.175,0.525074
32.4,0.516617
32.625,0.510726
32.85,0.505374
33.075,0.499357
33.3,0.49268
33.525,0.486104
33.75,0.480769
33.975,0.47692
34.2,0.474236
34.425,0.473464
34.65,0.475665
34.875,0.480873
35.1,0.489074
35.325,0.499889
35.55,0.510751
35.775,0.51867
36,0.521141
36.225,0.51884
36.45,0.514467
36.675,0.509879
36.9,0.505823
37.125,0.502488
37.35,0.499502
37.575,0.496413
37.8,0.493102
38.025,0.490722
38.25,0.49002
38.475,0.490753
38.7,0.492792
38.925,0.495721
39.15,0.498876
39.375,0.501772
39.6,0.504328
39.825,0.505241
40.05,0.503757
40.275,0.500591
40.5,0.497129
40.725,0.494668
40.95,0.49319
41.175,0.492476
41.4,0.492489
41.625,0.493265
41.85,0.495138
42.075,0.498308
42.3,0.502723
42.525,0.508248
42.75,0.513654
42.975,0.517469
43.2,0.517697
43.425,0.514445
43.65,0.50949
43.875,0.504969
44.1,0.500778
44.325,0.495777
44.55,0.489726
44.775,0.483958
45,0.479563
45.225,0.476895
45.45,0.475724
45.675,0.476418
45.9,0.479379
46.125,0.485742
46.35,0.496342
46.575,0.510799
46.8,0.526482
47.025,0.537272
47.25,0.538284
47.475,0.53098
47.7,0.52108
47.925,0.512639
48.15,0.506313
48.375,0.500278
48.6,0.49321
48.825,0.485521
49.05,0.478532
49.275,0.472853
49.5,0.468674
49.725,0.466104
49.95,0.46563
50.175,0.468139
50.4,0.474874
50.625,0.487849
50.85,0.508264
51.075,0.532797
51.3,0.549408
51.525,0.548175
51.75,0.535536
51.975,0.523238
52.2,0.514801
52.425,0.508716
52.65,0.502513
52.875,0.494773
53.1,0.486014
53.325,0.478291
53.55,0.472649
53.775,0.468568
54,0.465552
54.225,0.464663
54.45,0.46663
54.675,0.47268
54.9,0.48461
55.125,0.503032
55.35,0.525089
55.575,0.541015
55.8,0.542265
56.025,0.53271
