Time,avg(H)
0.3,0.5
0.6,0.5
0.9,0.500001
1.2,0.500001
1.5,0.5
1.8,0.5
2.1,0.500004
2.4,0.500025
2.7,0.500118
3,0.500456
3.3,0.501518
3.6,0.504673
3.9,0.511925
4.2,0.525527
4.5,0.542443
4.8,0.548545
5.1,0.53408
5.4,0.51173
5.7,0.49524
6,0.487039
6.3,0.484332
6.6,0.483166
6.9,0.480311
7.2,0.474676
7.5,0.467987
7.8,0.463004
8.1,0.461339
8.4,0.462905
8.7,0.465528
9,0.467236
9.3,0.469311
9.6,0.476211
9.9,0.488734
10.2,0.500041
10.5,0.507688
10.8,0.51957
11.1,0.529135
11.4,0.529533
11.7,0.535146
12,0.53505
12.3,0.530757
12.6,0.532114
12.9,0.523918
13.2,0.521515
13.5,0.516379
13.8,0.508616
14.1,0.506569
14.4,0.497805
14.7,0.494258
15,0.48967
15.3,0.483032
15.6,0.481731
15.9,0.476814
16.2,0.474818
16.5,0.475208
16.8,0.473018
17.1,0.475543
17.4,0.476611
17.7,0.478964
18,0.484788
18.3,0.488795
18.6,0.496948
18.9,0.501234
19.2,0.508123
19.5,0.511185
19.8,0.515514
20.1,0.517246
20.4,0.517275
20.7,0.517985
21,0.516035
21.3,0.514292
21.6,0.512157
21.9,0.508508
22.2,0.50559
22.5,0.50278
22.8,0.499418
23.1,0.497364
23.4,0.495493
23.7,0.493476
24,0.492289
24.3,0.491459
24.6,0.491478
24.9,0.492287
25.2,0.49308
25.5,0.493888
25.8,0.495106
26.1,0.497071
26.4,0.499237
26.7,0.501165
27,0.502359
27.3,0.502967
27.6,0.503191
27.9,0.503042
28.2,0.502293
28.5,0.501314
28.8,0.50026
29.1,0.498638
29.4,0.496393
29.7,0.494809
30,0.493453
30.3,0.492474
30.6,0.491103
30.9,0.491013
31.2,0.491549
31.5,0.492876
31.8,0.494437
32.1,0.496679
32.4,0.499323
32.7,0.502901
33,0.506738
33.3,0.510605
33.6,0.513587
33.9,0.515975
34.2,0.517134
34.5,0.517716
34.8,0.517292
35.1,0.516044
35.4,0.513185
35.7,0.510016
36,0.506577
36.3,0.503022
36.6,0.498819
36.9,0.494199
37.2,0.490215
37.5,0.486243
37.8,0.482637
38.1,0.479558
38.4,0.476816
38.7,0.474772
39,0.473647
39.3,0.473836
39.6,0.475196
39.9,0.477982
40.2,0.482377
40.5,0.488315
40.8,0.496188
41.1,0.505178
41.4,0.513918
41.7,0.52194
42,0.5286
42.3,0.532508
42.6,0.533876
42.9,0.534207
43.2,0.532416
43.5,0.528494
43.8,0.524373
44.1,0.519232
44.4,0.513046
44.7,0.507
45,0.501001
45.3,0.49481
45.6,0.488929
45.9,0.483165
46.2,0.477967
46.5,0.473653
46.8,0.469588
47.1,0.466181
47.4,0.463911
47.7,0.462838
48,0.463034
48.3,0.464858
48.6,0.468664
48.9,0.475063
49.2,0.484132
49.5,0.495656
49.8,0.508573
50.1,0.520549
50.4,0.530127
50.7,0.53666
51,0.539985
51.3,0.540678
51.6,0.539311
51.9,0.535917
52.2,0.531227
52.5,0.525655
52.8,0.519233
53.1,0.512604
53.4,0.506009
53.7,0.4994
54,0.493132
54.3,0.487228
54.6,0.481432
54.9,0.476145
55.2,0.471545
55.5,0.467946
55.8,0.46522
56.1,0.463317
56.4,0.462537
56.7,0.463194
57,0.466009
57.3,0.470694
