Time,avg(H)
0.075,0.499996
0.15,0.499987
0.225,0.499987
0.3,0.499988
0.375,0.499989
0.45,0.499991
0.525,0.499992
0.6,0.499992
0.675,0.499992
0.75,0.499992
0.825,0.499991
0.9,0.49999
0.975,0.49999
1.05,0.49999
1.125,0.49999
1.2,0.49999
1.275,0.49999
1.35,0.49999
1.425,0.49999
1.5,0.49999
1.575,0.49999
1.65,0.49999
1.725,0.49999
1.8,0.49999
1.875,0.49999
1.95,0.499991
2.025,0.499993
2.1,0.499996
2.175,0.500001
2.25,0.500008
2.325,0.500018
2.4,0.500033
2.475,0.500053
2.55,0.500082
2.625,0.50012
2.7,0.500172
2.775,0.500242
2.85,0.500335
2.925,0.500456
3,0.500612
3.075,0.500812
3.15,0.501067
3.225,0.501399
3.3,0.501851
3.375,0.502437
3.45,0.503053
3.525,0.50384
3.6,0.504806
3.675,0.505888
3.75,0.507147
3.825,0.50862
3.9,0.510209
3.975,0.511895
4.05,0.513687
4.125,0.515523
4.2,0.517323
4.275,0.519003
4.35,0.520453
4.425,0.521451
4.5,0.522094
4.575,0.522149
4.65,0.521546
4.725,0.520402
4.8,0.518576
4.875,0.516172
4.95,0.513281
5.025,0.510081
5.1,0.506648
5.175,0.503069
5.25,0.499501
5.325,0.496103
5.4,0.492879
5.475,0.489885
5.55,0.487228
5.625,0.484936
5.7,0.48298
5.775,0.481367
5.85,0.480195
5.925,0.479315
6,0.478873
6.075,0.478764
6.15,0.47898
6.225,0.479542
6.3,0.480559
6.375,0.481862
6.45,0.483582
6.525,0.48575
6.6,0.488403
6.675,0.491431
6.75,0.495018
6.825,0.499071
6.9,0.50356
6.975,0.508444
7.05,0.513458
7.125,0.518515
7.2,0.523196
7.275,0.527215
7.35,0.53019
7.425,0.531695
7.5,0.531637
7.575,0.530005
7.65,0.526922
7.725,0.522727
7.8,0.517823
7.875,0.512726
7.95,0.507723
8.025,0.503181
8.1,0.499248
8.175,0.496036
8.25,0.493489
8.325,0.491603
8.4,0.490284
8.475,0.489232
8.55,0.488465
8.625,0.487641
8.7,0.486857
8.775,0.485849
8.85,0.484764
8.925,0.483455
9,0.482191
9.075,0.480959
9.15,0.479939
9.225,0.4793
9.3,0.479183
9.375,0.479672
9.45,0.480935
9.525,0.482966
9.6,0.485799
9.675,0.489425
9.75,0.49379
9.825,0.498759
9.9,0.5041
9.975,0.509621
10.05,0.515114
10.125,0.520302
10.2,0.524802
10.275,0.528348
10.35,0.530653
10.425,0.531527
10.5,0.531021
10.575,0.52905
10.65,0.525834
10.725,0.521697
10.8,0.517027
10.875,0.512199
10.95,0.507527
11.025,0.503347
11.1,0.499766
11.175,0.496865
11.25,0.494544
11.325,0.4927
11.4,0.491173
11.475,0.489861
11.55,0.488673
11.625,0.48738
11.7,0.48613
11.775,0.484832
11.85,0.483514
11.925,0.482405
12,0.481365
12.075,0.480666
12.15,0.480209
12.225,0.480085
12.3,0.480351
12.375,0.480965
12.45,0.482091
12.525,0.483706
12.6,0.486021
12.675,0.489024
12.75,0.49286
12.825,0.497481
12.9,0.502879
12.975,0.508796
13.05,0.514899
13.125,0.520764
13.2,0.525755
13.275,0.529422
13.35,0.531382
13.425,0.531693
13.5,0.530556
13.575,0.528133
13.65,0.524895
13.725,0.521055
13.8,0.516856
13.875,0.512464
13.95,0.508069
14.025,0.503921
14.1,0.500246
14.175,0.497088
14.25,0.494564
14.325,0.492547
14.4,0.490932
14.475,0.489559
14.55,0.488407
14.625,0.487176
14.7,0.485959
14.775,0.484751
14.85,0.483496
14.925,0.482464
15,0.481488
15.075,0.480827
15.15,0.480362
15.225,0.480124
15.3,0.480199
15.375,0.480633
15.45,0.481498
15.525,0.483058
15.6,0.485358
15.675,0.488602
15.75,0.492707
15.825,0.497618
15.9,0.503203
15.975,0.509112
16.05,0.514976
16.125,0.520455
16.2,0.525132
16.275,0.528788
16.35,0.531085
16.425,0.531877
16.5,0.531053
16.575,0.528692
16.65,0.525105
16.725,0.520873
16.8,0.516415
16.875,0.512037
16.95,0.507927
17.025,0.504155
17.1,0.500702
17.175,0.497551
17.25,0.494904
17.325,0.492678
17.4,0.490864
17.475,0.489376
17.55,0.488203
17.625,0.487072
17.7,0.485956
17.775,0.484846
17.85,0.483647
17.925,0.482603
18,0.481563
18.075,0.480823
18.15,0.480266
18.225,0.479934
18.3,0.479959
18.375,0.480412
18.45,0.481296
18.525,0.482924
18.6,0.485295
18.675,0.488604
18.75,0.492729
18.825,0.497579
18.9,0.503025
18.975,0.508793
19.05,0.514607
19.125,0.520147
19.2,0.525046
19.275,0.528861
19.35,0.531113
19.425,0.531664
19.5,0.530705
19.575,0.528399
19.65,0.525095
19.725,0.521123
19.8,0.516781
19.875,0.512343
19.95,0.508091
20.025,0.50424
20.1,0.500828
20.175,0.49781
20.25,0.495221
20.325,0.492992
20.4,0.491065
20.475,0.489414
20.55,0.488057
20.625,0.486844
20.7,0.485637
20.775,0.484548
20.85,0.483349
20.925,0.482292
21,0.481264
21.075,0.48051
21.15,0.479912
21.225,0.479642
21.3,0.47975
21.375,0.480347
21.45,0.481393
21.525,0.483185
21.6,0.485729
21.675,0.489088
21.75,0.493214
21.825,0.498051
21.9,0.503408
21.975,0.509151
22.05,0.51497
22.125,0.520479
22.2,0.525174
22.275,0.528759
22.35,0.530876
22.425,0.531417
22.5,0.530505
22.575,0.528145
22.65,0.524779
22.725,0.520776
22.8,0.516499
22.875,0.512191
22.95,0.508051
23.025,0.504257
23.1,0.500868
23.175,0.497892
23.25,0.495333
23.325,0.493135
23.4,0.491206
23.475,0.489514
23.55,0.488078
23.625,0.486776
23.7,0.485506
23.775,0.484408
23.85,0.483257
23.925,0.482249
24,0.481268
24.075,0.480525
24.15,0.479914
24.225,0.47963
24.3,0.47974
24.375,0.48036
24.45,0.481427
24.525,0.483209
24.6,0.4857
24.675,0.48898
24.75,0.493029
24.825,0.497813
24.9,0.503228
24.975,0.509057
25.05,0.514946
25.125,0.520498
25.2,0.525255
25.275,0.528943
25.35,0.53112
25.425,0.531658
25.5,0.530706
25.575,0.528333
25.65,0.524918
25.725,0.520855
25.8,0.516485
25.875,0.512076
25.95,0.507866
26.025,0.504029
26.1,0.500644
26.175,0.497652
26.25,0.495172
26.325,0.493058
26.4,0.491223
26.475,0.489617
26.55,0.488261
26.625,0.486966
26.7,0.485724
26.775,0.484619
26.85,0.483422
26.925,0.482371
27,0.481302
27.075,0.480484
27.15,0.4798
27.225,0.479486
27.3,0.47957
27.375,0.480182
27.45,0.481267
27.525,0.483073
27.6,0.48559
27.675,0.488934
27.75,0.493044
27.825,0.4979
27.9,0.503355
27.975,0.509196
28.05,0.51508
28.125,0.520628
28.2,0.52536
28.275,0.52898
28.35,0.531094
28.425,0.531594
28.5,0.530622
28.575,0.528212
28.65,0.52479
28.725,0.52072
28.8,0.516342
28.875,0.511927
28.95,0.507743
29.025,0.503952
29.1,0.500643
29.175,0.497723
29.25,0.495282
29.325,0.493192
29.4,0.491365
29.475,0.489764
29.55,0.488382
29.625,0.48703
29.7,0.485741
29.775,0.484587
29.85,0.483355
29.925,0.482271
30,0.481203
