Points_0,Points_1,Points_2,U_0,U_1,U_2
8,-0.01,0,0,0,0
8,-0.01,3.4e-05,0.0163645,0,-1.49688e-06
8,-0.01,6.8e-05,0.032729,0,-2.99375e-06
8,-0.01,0.000102,0.0490935,0,-4.49063e-06
8,-0.01,0.000136,0.0649215,0,-6.75224e-06
8,-0.01,0.00017,0.0803426,0,-9.594e-06
8,-0.01,0.000204,0.0957636,0,-1.24358e-05
8,-0.01,0.000238,0.111009,0,-1.54542e-05
8,-0.01,0.000272,0.125147,0,-1.95831e-05
8,-0.01,0.000306,0.139285,0,-2.3712e-05
8,-0.01,0.00034,0.153423,0,-2.78409e-05
8,-0.01,0.000374,0.166523,0,-3.24168e-05
8,-0.01,0.000408,0.179191,0,-3.71791e-05
8,-0.01,0.000442,0.191858,0,-4.19413e-05
8,-0.01,0.000476,0.204101,0,-4.6753e-05
8,-0.01,0.00051,0.215223,0,-5.16957e-05
8,-0.01,0.000544,0.226344,0,-5.66383e-05
8,-0.01,0.000578,0.237466,0,-6.1581e-05
8,-0.01,0.000612,0.247289,0,-6.64276e-05
8,-0.01,0.000646,0.256871,0,-7.12563e-05
8,-0.01,0.00068,0.266453,0,-7.6085e-05
8,-0.01,0.000714,0.275427,0,-8.07814e-05
8,-0.01,0.000748,0.283533,0,-8.52888e-05
8,-0.01,0.000782,0.291639,0,-8.97961e-05
8,-0.01,0.000816,0.299744,0,-9.43034e-05
8,-0.01,0.00085,0.306502,0,-9.83555e-05
8,-0.01,0.000884,0.313233,0,-0.000102398
8,-0.01,0.000918,0.319964,0,-0.000106441
8,-0.01,0.000952,0.326007,0,-0.00011018
8,-0.01,0.000986,0.331486,0,-0.00011367
8,-0.01,0.00102,0.336965,0,-0.000117159
8,-0.01,0.001054,0.342313,0,-0.000120579
8,-0.01,0.001088,0.346674,0,-0.00012347
8,-0.01,0.001122,0.351035,0,-0.000126362
8,-0.01,0.001156,0.355395,0,-0.000129254
8,-0.01,0.00119,0.359082,0,-0.000131728
8,-0.01,0.001224,0.362461,0,-0.000134011
8,-0.01,0.001258,0.365839,0,-0.000136295
8,-0.01,0.001292,0.369001,0,-0.000138425
8,-0.01,0.001326,0.37153,0,-0.000140109
8,-0.01,0.00136,0.374059,0,-0.000141793
8,-0.01,0.001394,0.376588,0,-0.000143478
8,-0.01,0.001428,0.378521,0,-0.000144679
8,-0.01,0.001462,0.380326,0,-0.000145776
