Points_0,Points_1,Points_2,U_0,U_1,U_2
8,-0.01,0,0,0,0
8,-0.01,3.4e-05,0.0172105,0,-1.28384e-06
8,-0.01,6.8e-05,0.0344209,0,-2.56768e-06
8,-0.01,0.000102,0.0516314,0,-3.85153e-06
8,-0.01,0.000136,0.0683776,0,-5.88599e-06
8,-0.01,0.00017,0.0847718,0,-8.48988e-06
8,-0.01,0.000204,0.101166,0,-1.10938e-05
8,-0.01,0.000238,0.117405,0,-1.38761e-05
8,-0.01,0.000272,0.13267,0,-1.77799e-05
8,-0.01,0.000306,0.147934,0,-2.16838e-05
8,-0.01,0.00034,0.163199,0,-2.55876e-05
8,-0.01,0.000374,0.177529,0,-3.00126e-05
8,-0.01,0.000408,0.19147,0,-3.46546e-05
8,-0.01,0.000442,0.205411,0,-3.92967e-05
8,-0.01,0.000476,0.218961,0,-4.40388e-05
8,-0.01,0.00051,0.231478,0,-4.90451e-05
8,-0.01,0.000544,0.243995,0,-5.40514e-05
8,-0.01,0.000578,0.256512,0,-5.90577e-05
8,-0.01,0.000612,0.267804,0,-6.41558e-05
8,-0.01,0.000646,0.278868,0,-6.92709e-05
8,-0.01,0.00068,0.289932,0,-7.43861e-05
8,-0.01,0.000714,0.300408,0,-7.94666e-05
8,-0.01,0.000748,0.310044,0,-8.44977e-05
8,-0.01,0.000782,0.31968,0,-8.95288e-05
8,-0.01,0.000816,0.329315,0,-9.45599e-05
8,-0.01,0.00085,0.337611,0,-9.93683e-05
8,-0.01,0.000884,0.34588,0,-0.000104172
8,-0.01,0.000918,0.354149,0,-0.000108976
8,-0.01,0.000952,0.361716,0,-0.000113602
8,-0.01,0.000986,0.368705,0,-0.00011808
8,-0.01,0.00102,0.375695,0,-0.000122559
8,-0.01,0.001054,0.382545,0,-0.000126992
8,-0.01,0.001088,0.388357,0,-0.000131083
8,-0.01,0.001122,0.394169,0,-0.000135174
8,-0.01,0.001156,0.399981,0,-0.000139265
8,-0.01,0.00119,0.40506,0,-0.000143067
8,-0.01,0.001224,0.409805,0,-0.000146736
8,-0.01,0.001258,0.414549,0,-0.000150406
8,-0.01,0.001292,0.419051,0,-0.000153966
8,-0.01,0.001326,0.42284,0,-0.000157202
8,-0.01,0.00136,0.42663,0,-0.000160439
8,-0.01,0.001394,0.43042,0,-0.000163675
8,-0.01,0.001428,0.433515,0,-0.000166559
8,-0.01,0.001462,0.436461,0,-0.000169366
8,-0.01,0.001496,0.439407,0,-0.000172173
8,-0.01,0.00153,0.442064,0,-0.000174818
8,-0.01,0.001564,0.444273,0,-0.000177211
8,-0.01,0.001598,0.446481,0,-0.000179605
8,-0.01,0.001632,0.44869,0,-0.000181998
8,-0.01,0.001666,0.450286,0,-0.000184015
8,-0.01,0.0017,0.451857,0,-0.000186018
8,-0.01,0.001734,0.453428,0,-0.00018802
8,-0.01,0.001768,0.454711,0,-0.00018983
8,-0.01,0.001802,0.455737,0,-0.00019147
8,-0.01,0.001836,0.456762,0,-0.000193109
8,-0.01,0.00187,0.457743,0,-0.000194715
8,-0.01,0.001904,0.458306,0,-0.000196013
8,-0.01,0.001938,0.458869,0,-0.000197311
8,-0.01,0.001972,0.459433,0,-0.00019861
8,-0.01,0.002006,0.45974,0,-0.000199705
8,-0.01,0.00204,0.459919,0,-0.000200698
8,-0.01,0.002074,0.460098,0,-0.000201691
8,-0.01,0.002108,0.460203,0,-0.000202625
8,-0.01,0.002142,0.460067,0,-0.000203365
8,-0.01,0.002176,0.45993,0,-0.000204106
8,-0.01,0.00221,0.459794,0,-0.000204846
8,-0.01,0.002244,0.459451,0,-0.000205398
8,-0.01,0.002278,0.459058,0,-0.000205905
8,-0.01,0.002312,0.458665,0,-0.000206411
8,-0.01,0.002346,0.458196,0,-0.000206837
8,-0.01,0.00238,0.457598,0,-0.000207128
8,-0.01,0.002414,0.457001,0,-0.00020742
8,-0.01,0.002448,0.456403,0,-0.000207711
8,-0.01,0.002482,0.455656,0,-0.000207833
8,-0.01,0.002516,0.4549,0,-0.000207945
8,-0.01,0.00255,0.454144,0,-0.000208057
8,-0.01,0.002584,0.453327,0,-0.000208089
8,-0.01,0.002618,0.452451,0,-0.000208043
8,-0.01,0.002652,0.451575,0,-0.000207996
8,-0.01,0.002686,0.450692,0,-0.00020794
8,-0.01,0.00272,0.449731,0,-0.000207757
8,-0.01,0.002754,0.448769,0,-0.000207575
8,-0.01,0.002788,0.447808,0,-0.000207393
8,-0.01,0.002822,0.446809,0,-0.000207127
8,-0.01,0.002856,0.44579,0,-0.000206815
8,-0.01,0.00289,0.444772,0,-0.000206503
8,-0.01,0.002924,0.443746,0,-0.000206167
8,-0.01,0.002958,0.442695,0,-0.000205744
8,-0.01,0.002992,0.441643,0,-0.000205321
8,-0.01,0.003026,0.440592,0,-0.000204897
8,-0.01,0.00306,0.43953,0,-0.000204409
8,-0.01,0.003094,0.438466,0,-0.000203903
8,-0.01,0.003128,0.437402,0,-0.000203396
8,-0.01,0.003162,0.43634,0,-0.000202864
8,-0.01,0.003196,0.43528,0,-0.000202284
8,-0.01,0.00323,0.43422,0,-0.000201703
8,-0.01,0.003264,0.43316,0,-0.000201123
8,-0.01,0.003298,0.432116,0,-0.000200486
8,-0.01,0.003332,0.431074,0,-0.000199845
8,-0.01,0.003366,0.430032,0,-0.000199204
8,-0.01,0.0034,0.429004,0,-0.000198538
8,-0.01,0.003434,0.427991,0,-0.000197847
8,-0.01,0.003468,0.426977,0,-0.000197156
8,-0.01,0.003502,0.425966,0,-0.000196463
8,-0.01,0.003536,0.42499,0,-0.000195732
8,-0.01,0.00357,0.424014,0,-0.000195002
8,-0.01,0.003604,0.423038,0,-0.000194271
8,-0.01,0.003638,0.422089,0,-0.000193521
8,-0.01,0.003672,0.421157,0,-0.000192761
8,-0.01,0.003706,0.420225,0,-0.000192001
8,-0.01,0.00374,0.419303,0,-0.000191234
8,-0.01,0.003774,0.41842,0,-0.000190444
8,-0.01,0.003808,0.417536,0,-0.000189653
8,-0.01,0.003842,0.416653,0,-0.000188862
8,-0.01,0.003876,0.41581,0,-0.000188059
8,-0.01,0.00391,0.414979,0,-0.000187251
8,-0.01,0.003944,0.414148,0,-0.000186444
8,-0.01,0.003978,0.413335,0,-0.000185633
8,-0.01,0.004012,0.412559,0,-0.000184813
8,-0.01,0.004046,0.411782,0,-0.000183994
8,-0.01,0.00408,0.411006,0,-0.000183175
8,-0.01,0.004114,0.410279,0,-0.000182342
8,-0.01,0.004148,0.409558,0,-0.000181507
8,-0.01,0.004182,0.408837,0,-0.000180672
8,-0.01,0.004216,0.408143,0,-0.000179836
8,-0.01,0.00425,0.407478,0,-0.000178997
8,-0.01,0.004284,0.406813,0,-0.000178159
8,-0.01,0.004318,0.40615,0,-0.00017732
8,-0.01,0.004352,0.40554,0,-0.000176479
8,-0.01,0.004386,0.404931,0,-0.000175637
8,-0.01,0.00442,0.404321,0,-0.000174795
8,-0.01,0.004454,0.403744,0,-0.000173953
8,-0.01,0.004488,0.403189,0,-0.000173111
8,-0.01,0.004522,0.402634,0,-0.000172268
8,-0.01,0.004556,0.402089,0,-0.000171426
8,-0.01,0.00459,0.401587,0,-0.000170585
8,-0.01,0.004624,0.401085,0,-0.000169743
8,-0.01,0.004658,0.400582,0,-0.000168902
8,-0.01,0.004692,0.400119,0,-0.000168063
8,-0.01,0.004726,0.399668,0,-0.000167225
8,-0.01,0.00476,0.399217,0,-0.000166386
8,-0.01,0.004794,0.398781,0,-0.000165549
8,-0.01,0.004828,0.39838,0,-0.000164716
8,-0.01,0.004862,0.397978,0,-0.000163882
8,-0.01,0.004896,0.397576,0,-0.000163048
8,-0.01,0.00493,0.397215,0,-0.000162218
8,-0.01,0.004964,0.39686,0,-0.00016139
8,-0.01,0.004998,0.396505,0,-0.000160562
8,-0.01,0.005032,0.39617,0,-0.000159736
8,-0.01,0.005066,0.395859,0,-0.000158914
8,-0.01,0.0051,0.395549,0,-0.000158092
8,-0.01,0.005134,0.395239,0,-0.00015727
8,-0.01,0.005168,0.39497,0,-0.000156456
8,-0.01,0.005202,0.394701,0,-0.000155641
8,-0.01,0.005236,0.394432,0,-0.000154826
8,-0.01,0.00527,0.394185,0,-0.000154015
8,-0.01,0.005304,0.393956,0,-0.000153208
8,-0.01,0.005338,0.393726,0,-0.000152401
8,-0.01,0.005372,0.393501,0,-0.000151595
