Time,avg(H)
26.775,0.465941
26.85,0.467218
26.925,0.468814
27,0.470726
27.075,0.472681
27.15,0.474849
27.225,0.477477
27.3,0.480726
27.375,0.483801
27.45,0.487211
27.525,0.491131
27.6,0.494666
27.675,0.498695
27.75,0.502433
27.825,0.505961
27.9,0.509767
27.975,0.512873
28.05,0.515852
28.125,0.518942
28.2,0.521376
28.275,0.523464
28.35,0.525463
28.425,0.527587
28.5,0.5295
28.575,0.531135
28.65,0.532565
28.725,0.533858
28.8,0.535093
28.875,0.536262
28.95,0.537229
29.025,0.537847
29.1,0.538221
29.175,0.538466
29.25,0.538593
29.325,0.53851
29.4,0.538124
29.475,0.537469
29.55,0.53667
29.625,0.535889
29.7,0.535155
29.775,0.534434
29.85,0.533687
29.925,0.532848
30,0.531878
