Time,avg(H)
0.0375,0.499999
0.075,0.499999
0.1125,0.499999
0.15,0.499998
0.1875,0.499998
0.225,0.499999
0.2625,0.499999
0.3,0.499999
0.3375,0.499999
0.375,0.499999
0.4125,0.499999
0.45,0.499999
0.4875,0.499999
0.525,0.499999
0.5625,0.499999
0.6,0.499999
0.6375,0.499999
0.675,0.499999
0.7125,0.499999
0.75,0.499999
0.7875,0.499999
0.825,0.499999
0.8625,0.499999
0.9,0.499999
0.9375,0.499999
0.975,0.499999
1.0125,0.499999
1.05,0.499999
1.0875,0.499999
1.125,0.499999
1.1625,0.499999
1.2,0.5
1.2375,0.5
1.275,0.5
1.3125,0.5
1.35,0.5
1.3875,0.5
1.425,0.5
1.4625,0.499999
1.5,0.499999
1.5375,0.499999
1.575,0.499999
1.6125,0.499999
1.65,0.499999
1.6875,0.499999
1.725,0.5
1.7625,0.5
1.8,0.5
1.8375,0.5
1.875,0.500001
1.9125,0.500001
1.95,0.500002
1.9875,0.500003
2.025,0.500004
2.0625,0.500006
2.1,0.500008
2.1375,0.50001
2.175,0.500013
2.2125,0.500016
2.25,0.50002
2.2875,0.500025
2.325,0.500031
2.3625,0.500037
2.4,0.500045
2.4375,0.500054
2.475,0.500064
2.5125,0.500076
2.55,0.50009
2.5875,0.500107
2.625,0.500125
2.6625,0.500146
2.7,0.50017
2.7375,0.500198
2.775,0.500229
2.8125,0.500264
2.85,0.500304
2.8875,0.500348
2.925,0.500398
2.9625,0.500453
3,0.500514
3.0375,0.500582
3.075,0.500656
3.1125,0.500738
3.15,0.500827
3.1875,0.500924
3.225,0.50103
3.2625,0.501145
3.3,0.501272
3.3375,0.501411
3.375,0.501564
3.4125,0.501734
3.45,0.501926
3.4875,0.502136
3.525,0.502337
3.5625,0.502533
3.6,0.502728
3.6375,0.502923
3.675,0.503123
3.7125,0.503329
3.75,0.503544
3.7875,0.503771
3.825,0.50401
3.8625,0.504238
3.9,0.504436
3.9375,0.504611
3.975,0.504767
4.0125,0.504902
4.05,0.505015
4.0875,0.505104
4.125,0.505167
4.1625,0.505198
4.2,0.505196
4.2375,0.50516
4.275,0.505087
4.3125,0.504976
4.35,0.504824
4.3875,0.504626
4.425,0.504373
4.4625,0.50405
4.5,0.503678
4.5375,0.503311
4.575,0.502926
4.6125,0.502497
4.65,0.501987
4.6875,0.50147
4.725,0.500994
4.7625,0.5005
4.8,0.499939
4.8375,0.499414
4.875,0.498952
4.9125,0.4985
4.95,0.498027
4.9875,0.497595
5.025,0.497257
5.0625,0.49698
5.1,0.496759
5.1375,0.496596
5.175,0.496502
5.2125,0.496483
5.25,0.496542
5.2875,0.496677
5.325,0.496886
5.3625,0.497171
5.4,0.497546
5.4375,0.498049
5.475,0.498594
5.5125,0.499144
5.55,0.499781
5.5875,0.500504
5.625,0.501156
5.6625,0.501866
5.7,0.502593
5.7375,0.503211
5.775,0.503833
5.8125,0.504427
5.85,0.504867
5.8875,0.505206
5.925,0.505448
5.9625,0.505576
6,0.505572
6.0375,0.505436
6.075,0.505179
6.1125,0.504801
6.15,0.504271
6.1875,0.503575
6.225,0.502882
6.2625,0.502059
6.3,0.501186
6.3375,0.500334
6.375,0.4994
6.4125,0.498592
6.45,0.497731
6.4875,0.497033
6.525,0.496433
6.5625,0.495882
6.6,0.495507
6.6375,0.495309
6.675,0.495268
6.7125,0.495386
6.75,0.495682
6.7875,0.496197
6.825,0.496812
6.8625,0.497554
6.9,0.498518
6.9375,0.499476
6.975,0.50061
7.0125,0.501689
7.05,0.502838
7.0875,0.503902
7.125,0.504902
7.1625,0.505743
7.2,0.506489
7.2375,0.506955
7.275,0.507204
7.3125,0.507227
7.35,0.507017
7.3875,0.506563
7.425,0.505786
7.4625,0.504879
7.5,0.503714
7.5375,0.502495
7.575,0.501109
7.6125,0.499696
7.65,0.498361
7.6875,0.497037
7.725,0.495836
7.7625,0.494855
7.8,0.494038
7.8375,0.493457
7.875,0.493195
7.9125,0.493205
7.95,0.493499
7.9875,0.494156
8.025,0.495031
8.0625,0.496228
8.1,0.49759
8.1375,0.499183
8.175,0.500913
8.2125,0.502696
8.25,0.504451
8.2875,0.506082
8.325,0.50751
8.3625,0.508742
8.4,0.509556
8.4375,0.510054
8.475,0.510082
8.5125,0.509618
8.55,0.508787
8.5875,0.50745
8.625,0.505814
8.6625,0.503891
8.7,0.501782
8.7375,0.499582
8.775,0.497405
8.8125,0.49535
8.85,0.493502
8.8875,0.49197
8.925,0.490811
8.9625,0.490034
9,0.489712
9.0375,0.489924
9.075,0.490642
9.1125,0.491797
9.15,0.493448
9.1875,0.495525
9.225,0.497949
9.2625,0.500632
9.3,0.503412
9.3375,0.506196
9.375,0.508827
9.4125,0.511117
9.45,0.512956
9.4875,0.514201
9.525,0.514708
9.5625,0.514446
9.6,0.513333
9.6375,0.511506
9.675,0.509041
9.7125,0.506077
9.75,0.502751
9.7875,0.499313
9.825,0.495926
9.8625,0.492722
9.9,0.489912
9.9375,0.487584
9.975,0.485884
10.0125,0.484896
10.05,0.484643
10.0875,0.485111
10.125,0.486437
10.1625,0.488495
10.2,0.491277
10.2375,0.494701
10.275,0.498617
10.3125,0.502899
10.35,0.507279
10.3875,0.511478
10.425,0.515275
10.4625,0.518354
10.5,0.520483
10.5375,0.521303
10.575,0.52085
10.6125,0.518958
10.65,0.515837
10.6875,0.511727
10.725,0.506857
10.7625,0.501792
10.8,0.496561
10.8375,0.491747
10.875,0.487348
10.9125,0.483703
10.95,0.480924
10.9875,0.479145
11.025,0.478474
11.0625,0.478841
11.1,0.480357
11.1375,0.482978
11.175,0.486637
11.2125,0.491298
11.25,0.496637
11.2875,0.502568
11.325,0.508798
11.3625,0.514897
11.4,0.520188
11.4375,0.524289
11.475,0.526821
11.5125,0.527396
11.55,0.526004
11.5875,0.522628
11.625,0.517835
11.6625,0.511979
11.7,0.505685
11.7375,0.499312
11.775,0.493319
11.8125,0.48796
11.85,0.483439
11.8875,0.479928
11.925,0.477531
11.9625,0.476384
12,0.476387
12.0375,0.477558
12.075,0.479962
12.1125,0.483496
12.15,0.487965
12.1875,0.493346
12.225,0.49922
12.2625,0.505345
12.3,0.511378
12.3375,0.516716
12.375,0.521082
12.4125,0.52408
12.45,0.525462
12.4875,0.525176
12.525,0.523201
12.5625,0.519853
12.6,0.515441
12.6375,0.510342
12.675,0.50499
12.7125,0.499755
12.75,0.494682
12.7875,0.49022
12.825,0.486385
12.8625,0.483326
12.9,0.481169
12.9375,0.47994
12.975,0.47965
13.0125,0.480379
13.05,0.481973
13.0875,0.484494
13.125,0.487807
13.1625,0.491826
13.2,0.496364
13.2375,0.501327
13.275,0.506273
13.3125,0.511182
13.35,0.515596
13.3875,0.519315
13.425,0.522005
13.4625,0.523414
13.5,0.52342
13.5375,0.521981
13.575,0.519119
13.6125,0.515115
13.65,0.510311
13.6875,0.505012
13.725,0.499683
13.7625,0.494405
13.8,0.489688
13.8375,0.485565
13.875,0.482265
13.9125,0.479897
13.95,0.478606
13.9875,0.478349
14.025,0.479132
14.0625,0.481054
14.1,0.483992
14.1375,0.487898
14.175,0.492616
14.2125,0.497945
14.25,0.503643
14.2875,0.509326
14.325,0.514558
14.3625,0.519097
14.4,0.522444
14.4375,0.524425
14.475,0.524741
14.5125,0.523414
14.55,0.520615
14.5875,0.516618
14.625,0.511881
14.6625,0.506571
14.7,0.50126
14.7375,0.496093
14.775,0.491325
14.8125,0.487144
14.85,0.483744
14.8875,0.481178
14.925,0.47955
14.9625,0.478967
15,0.479315
