Time,avg(H)
0.075,0.5
0.15,0.5
0.225,0.5
0.3,0.5
0.375,0.5
0.45,0.5
0.525,0.5
0.6,0.5
0.675,0.5
0.75,0.5
0.825,0.5
0.9,0.5
0.975,0.500001
1.05,0.500001
1.125,0.500001
1.2,0.500001
1.275,0.500001
1.35,0.500001
1.425,0.500001
1.5,0.500001
1.575,0.5
1.65,0.5
1.725,0.5
1.8,0.5
1.875,0.5
1.95,0.499999
2.025,0.499999
2.1,0.499999
2.175,0.5
2.25,0.5
2.325,0.500001
2.4,0.500002
2.475,0.500003
2.55,0.500004
2.625,0.500005
2.7,0.500006
2.775,0.500007
2.85,0.500007
2.925,0.500007
3,0.500006
3.075,0.500004
3.15,0.5
3.225,0.499996
3.3,0.499988
3.375,0.499979
3.45,0.499966
3.525,0.499949
3.6,0.499929
3.675,0.499905
3.75,0.499879
3.825,0.49985
3.9,0.499823
3.975,0.4998
4.05,0.499785
4.125,0.499784
4.2,0.499802
4.275,0.499846
4.35,0.499928
4.425,0.50006
4.5,0.500239
4.575,0.500462
4.65,0.500726
4.725,0.501032
4.8,0.501385
4.875,0.501799
4.95,0.502257
5.025,0.50264
5.1,0.502952
5.175,0.503181
5.25,0.503294
5.325,0.503259
5.4,0.503058
5.475,0.502672
5.55,0.502041
5.625,0.501254
5.7,0.500409
5.775,0.499416
5.85,0.49857
5.925,0.497741
6,0.497222
6.075,0.497031
6.15,0.497211
6.225,0.497878
6.3,0.499028
6.375,0.500662
6.45,0.502632
6.525,0.504795
6.6,0.50694
6.675,0.508817
6.75,0.510119
6.825,0.51058
6.9,0.509993
6.975,0.508388
7.05,0.505711
7.125,0.50241
7.2,0.498699
7.275,0.495046
7.35,0.491907
7.425,0.489675
7.5,0.488766
7.575,0.489247
7.65,0.491396
7.725,0.495152
7.8,0.500291
7.875,0.506253
7.95,0.512336
8.025,0.51743
8.1,0.52059
8.175,0.520743
8.25,0.517526
8.325,0.511359
8.4,0.503243
8.475,0.494492
8.55,0.486416
8.625,0.480157
8.7,0.47659
8.775,0.476234
8.85,0.479438
8.925,0.486512
9,0.497046
9.075,0.51013
9.15,0.524031
9.225,0.535758
9.3,0.541196
9.375,0.537377
9.45,0.524297
9.525,0.506008
9.6,0.487205
9.675,0.471076
9.75,0.459487
