Points_0,Points_1,Points_2,U_0,U_1,U_2
8,-0.01,0,0,0,0
8,-0.01,3.4e-05,0.00326046,0,-6.83648e-07
8,-0.01,6.8e-05,0.00652092,0,-1.3673e-06
8,-0.01,0.000102,0.00978138,0,-2.05094e-06
8,-0.01,0.000136,0.0128314,0,-2.99623e-06
8,-0.01,0.00017,0.0157218,0,-4.14e-06
8,-0.01,0.000204,0.0186122,0,-5.28377e-06
8,-0.01,0.000238,0.0214409,0,-6.47588e-06
8,-0.01,0.000272,0.0238812,0,-7.97186e-06
8,-0.01,0.000306,0.0263214,0,-9.46784e-06
8,-0.01,0.00034,0.0287617,0,-1.09638e-05
8,-0.01,0.000374,0.0308707,0,-1.24806e-05
8,-0.01,0.000408,0.0328417,0,-1.40059e-05
8,-0.01,0.000442,0.0348127,0,-1.55313e-05
8,-0.01,0.000476,0.0366605,0,-1.70099e-05
8,-0.01,0.00051,0.038183,0,-1.83647e-05
8,-0.01,0.000544,0.0397054,0,-1.97195e-05
8,-0.01,0.000578,0.0412279,0,-2.10744e-05
8,-0.01,0.000612,0.0424094,0,-2.22e-05
8,-0.01,0.000646,0.0435275,0,-2.32829e-05
8,-0.01,0.00068,0.0446456,0,-2.43659e-05
8,-0.01,0.000714,0.0456211,0,-2.53187e-05
8,-0.01,0.000748,0.046393,0,-2.60856e-05
8,-0.01,0.000782,0.0471648,0,-2.68525e-05
8,-0.01,0.000816,0.0479367,0,-2.76194e-05
8,-0.01,0.00085,0.0484316,0,-2.80693e-05
8,-0.01,0.000884,0.048921,0,-2.85128e-05
8,-0.01,0.000918,0.0494103,0,-2.89564e-05
8,-0.01,0.000952,0.0497777,0,-2.92323e-05
8,-0.01,0.000986,0.050045,0,-2.93704e-05
8,-0.01,0.00102,0.0503123,0,-2.95086e-05
8,-0.01,0.001054,0.0505598,0,-2.96149e-05
8,-0.01,0.001088,0.050659,0,-2.94816e-05
8,-0.01,0.001122,0.0507582,0,-2.93483e-05
8,-0.01,0.001156,0.0508574,0,-2.92151e-05
8,-0.01,0.00119,0.0508741,0,-2.89252e-05
8,-0.01,0.001224,0.0508532,0,-2.85638e-05
8,-0.01,0.001258,0.0508322,0,-2.82024e-05
8,-0.01,0.001292,0.0507909,0,-2.77927e-05
8,-0.01,0.001326,0.0506903,0,-2.72419e-05
8,-0.01,0.00136,0.0505897,0,-2.66911e-05
8,-0.01,0.001394,0.050489,0,-2.61403e-05
8,-0.01,0.001428,0.05035,0,-2.54648e-05
8,-0.01,0.001462,0.0502027,0,-2.47626e-05
8,-0.01,0.001496,0.0500554,0,-2.40603e-05
8,-0.01,0.00153,0.0498993,0,-2.33144e-05
8,-0.01,0.001564,0.0497297,0,-2.25007e-05
8,-0.01,0.001598,0.0495601,0,-2.1687e-05
8,-0.01,0.001632,0.0493905,0,-2.08733e-05
8,-0.01,0.001666,0.0492157,0,-1.99838e-05
8,-0.01,0.0017,0.0490407,0,-1.90912e-05
8,-0.01,0.001734,0.0488657,0,-1.81986e-05
8,-0.01,0.001768,0.0486938,0,-1.72791e-05
8,-0.01,0.001802,0.0485248,0,-1.63356e-05
8,-0.01,0.001836,0.0483558,0,-1.53921e-05
8,-0.01,0.00187,0.0481881,0,-1.44458e-05
8,-0.01,0.001904,0.0480325,0,-1.34738e-05
8,-0.01,0.001938,0.047877,0,-1.25018e-05
8,-0.01,0.001972,0.0477215,0,-1.15297e-05
8,-0.01,0.002006,0.0475784,0,-1.05496e-05
8,-0.01,0.00204,0.0474415,0,-9.56546e-06
8,-0.01,0.002074,0.0473046,0,-8.5813e-06
8,-0.01,0.002108,0.0471727,0,-7.59684e-06
8,-0.01,0.002142,0.0470568,0,-6.61142e-06
8,-0.01,0.002176,0.046941,0,-5.626e-06
8,-0.01,0.00221,0.0468252,0,-4.64057e-06
8,-0.01,0.002244,0.0467259,0,-3.65918e-06
8,-0.01,0.002278,0.0466307,0,-2.67877e-06
8,-0.01,0.002312,0.0465354,0,-1.69837e-06
8,-0.01,0.002346,0.0464468,0,-7.21499e-07
8,-0.01,0.00238,0.0463692,0,2.4941e-07
8,-0.01,0.002414,0.0462916,0,1.22032e-06
8,-0.01,0.002448,0.0462141,0,2.19123e-06
8,-0.01,0.002482,0.0461512,0,3.14974e-06
8,-0.01,0.002516,0.0460892,0,4.10749e-06
8,-0.01,0.00255,0.0460273,0,5.06523e-06
8,-0.01,0.002584,0.0459728,0,6.01593e-06
8,-0.01,0.002618,0.0459255,0,6.95988e-06
8,-0.01,0.002652,0.0458782,0,7.90383e-06
8,-0.01,0.002686,0.0458319,0,8.84686e-06
