Points_0,Points_1,Points_2,U_0,U_1,U_2
8,-0.01,0,0,0,0
8,-0.01,3.4e-05,0.00275469,0,-3.05803e-08
8,-0.01,6.8e-05,0.00550938,0,-6.11605e-08
8,-0.01,0.000102,0.00826408,0,-9.17408e-08
8,-0.01,0.000136,0.0109831,0,-1.4524e-07
8,-0.01,0.00017,0.0136752,0,-2.16125e-07
8,-0.01,0.000204,0.0163672,0,-2.87011e-07
8,-0.01,0.000238,0.0190494,0,-3.64746e-07
8,-0.01,0.000272,0.0216695,0,-4.85532e-07
8,-0.01,0.000306,0.0242897,0,-6.06318e-07
8,-0.01,0.00034,0.0269098,0,-7.27105e-07
8,-0.01,0.000374,0.0294735,0,-8.78895e-07
8,-0.01,0.000408,0.0320136,0,-1.0436e-06
8,-0.01,0.000442,0.0345538,0,-1.20831e-06
8,-0.01,0.000476,0.03707,0,-1.38374e-06
8,-0.01,0.00051,0.0395232,0,-1.58747e-06
8,-0.01,0.000544,0.0419764,0,-1.7912e-06
8,-0.01,0.000578,0.0444296,0,-1.99494e-06
8,-0.01,0.000612,0.0468046,0,-2.22835e-06
8,-0.01,0.000646,0.0491651,0,-2.46729e-06
8,-0.01,0.00068,0.0515256,0,-2.70622e-06
8,-0.01,0.000714,0.053846,0,-2.95805e-06
8,-0.01,0.000748,0.0561091,0,-3.22829e-06
8,-0.01,0.000782,0.0583723,0,-3.49854e-06
8,-0.01,0.000816,0.0606355,0,-3.76878e-06
8,-0.01,0.00085,0.0627997,0,-4.06568e-06
8,-0.01,0.000884,0.064962,0,-4.36311e-06
8,-0.01,0.000918,0.0671243,0,-4.66054e-06
8,-0.01,0.000952,0.0692297,0,-4.97057e-06
8,-0.01,0.000986,0.0712885,0,-5.29095e-06
8,-0.01,0.00102,0.0733472,0,-5.61133e-06
8,-0.01,0.001054,0.0753936,0,-5.93391e-06
8,-0.01,0.001088,0.0773471,0,-6.27298e-06
8,-0.01,0.001122,0.0793006,0,-6.61206e-06
