Time,avg(H)
0.075,0.25
0.15,0.25
0.225,0.25
0.3,0.25
0.375,0.25
0.45,0.25
0.525,0.25
0.6,0.25
0.675,0.25
0.75,0.25
0.825,0.25
0.9,0.25
0.975,0.25
1.05,0.25
1.125,0.25
1.2,0.25
1.275,0.25
1.35,0.249999
1.425,0.249999
1.5,0.25
1.575,0.25
1.65,0.250001
1.725,0.250002
1.8,0.250003
1.875,0.250004
1.95,0.250005
2.025,0.250005
2.1,0.250005
2.175,0.250003
2.25,0.25
2.325,0.249995
2.4,0.249991
2.475,0.249987
2.55,0.249986
2.625,0.249988
2.7,0.249992
2.775,0.249999
2.85,0.250007
2.925,0.250014
3,0.250018
3.075,0.250018
3.15,0.250014
3.225,0.250006
3.3,0.249997
3.375,0.249988
3.45,0.249982
3.525,0.249981
3.6,0.249985
3.675,0.249994
3.75,0.250004
3.825,0.250013
3.9,0.250019
3.975,0.250018
4.05,0.250012
4.125,0.250002
4.2,0.249991
4.275,0.249983
4.35,0.249981
4.425,0.249985
4.5,0.249993
4.575,0.250004
4.65,0.250014
4.725,0.250018
4.8,0.250016
4.875,0.250007
4.95,0.249994
5.025,0.249984
5.1,0.249979
5.175,0.249982
5.25,0.249991
5.325,0.250001
5.4,0.250006
5.475,0.250004
5.55,0.249994
5.625,0.249982
5.7,0.249971
5.775,0.249966
5.85,0.249967
5.925,0.249968
6,0.249966
6.075,0.249958
6.15,0.249945
6.225,0.24993
6.3,0.249918
6.375,0.249909
6.45,0.249901
6.525,0.249889
6.6,0.249873
6.675,0.249852
6.75,0.249829
6.825,0.249808
6.9,0.249787
6.975,0.249764
7.05,0.249737
7.125,0.249704
7.2,0.249662
7.275,0.249613
7.35,0.24956
7.425,0.249504
7.5,0.249441
7.575,0.249363
7.65,0.249276
7.725,0.24918
7.8,0.249075
7.875,0.248957
7.95,0.248818
8.025,0.248672
8.1,0.248525
8.175,0.248349
8.25,0.248126
8.325,0.247916
8.4,0.247683
8.475,0.247432
8.55,0.247187
8.625,0.246888
8.7,0.246598
8.775,0.246259
8.85,0.245928
8.925,0.245575
9,0.245198
9.075,0.244834
9.15,0.244431
9.225,0.244017
9.3,0.243624
9.375,0.243213
9.45,0.242801
9.525,0.242431
9.6,0.242062
9.675,0.241724
9.75,0.241447
9.825,0.241222
9.9,0.241059
9.975,0.241009
10.05,0.24108
10.125,0.241321
10.2,0.241725
10.275,0.242373
10.35,0.243277
10.425,0.244508
10.5,0.246103
10.575,0.248057
10.65,0.250388
10.725,0.253037
10.8,0.255861
10.875,0.258667
10.95,0.261187
11.025,0.263115
11.1,0.264212
11.175,0.264349
11.25,0.263591
11.325,0.262129
11.4,0.260273
11.475,0.258313
11.55,0.256513
11.625,0.25504
11.7,0.253987
11.775,0.253386
11.85,0.253201
11.925,0.253301
12,0.253619
12.075,0.253976
12.15,0.254306
12.225,0.254447
12.3,0.254385
12.375,0.254075
12.45,0.253578
12.525,0.252936
12.6,0.252254
12.675,0.251623
12.75,0.251109
12.825,0.250774
12.9,0.250586
12.975,0.250563
13.05,0.250672
13.125,0.250827
13.2,0.250978
13.275,0.251087
13.35,0.251109
13.425,0.251027
13.5,0.250869
13.575,0.25064
13.65,0.250382
13.725,0.250177
13.8,0.250014
13.875,0.249934
13.95,0.249948
14.025,0.250037
14.1,0.250153
14.175,0.250257
14.25,0.250328
14.325,0.250348
14.4,0.250313
14.475,0.250231
14.55,0.250117
14.625,0.249993
14.7,0.249904
14.775,0.249869
14.85,0.249883
14.925,0.249939
15,0.250021
15.075,0.250095
15.15,0.250141
15.225,0.250152
15.3,0.25013
15.375,0.250084
15.45,0.250028
15.525,0.249983
15.6,0.249965
15.675,0.249978
15.75,0.250015
15.825,0.25006
15.9,0.250095
15.975,0.250109
16.05,0.250094
16.125,0.250053
16.2,0.24999
16.275,0.249927
16.35,0.249883
16.425,0.249866
16.5,0.24988
16.575,0.249921
16.65,0.24998
16.725,0.25004
16.8,0.250081
16.875,0.250096
16.95,0.250086
17.025,0.250058
17.1,0.250027
17.175,0.250003
17.25,0.249997
17.325,0.25001
17.4,0.250034
17.475,0.250056
17.55,0.250066
17.625,0.250062
17.7,0.250045
17.775,0.250021
17.85,0.250002
17.925,0.249997
18,0.250008
18.075,0.250029
18.15,0.25005
18.225,0.250064
18.3,0.250067
18.375,0.250058
18.45,0.250042
18.525,0.250026
18.6,0.250014
18.675,0.250012
18.75,0.250017
18.825,0.250025
18.9,0.250033
18.975,0.250035
19.05,0.250033
19.125,0.250027
19.2,0.25002
19.275,0.250017
19.35,0.250018
19.425,0.250021
19.5,0.250025
19.575,0.250027
19.65,0.250026
19.725,0.250019
19.8,0.250008
19.875,0.249994
19.95,0.249985
20.025,0.249982
20.1,0.249987
20.175,0.249999
20.25,0.250014
20.325,0.250024
20.4,0.250026
20.475,0.250018
20.55,0.250006
20.625,0.249995
20.7,0.249993
20.775,0.250001
20.85,0.250014
20.925,0.250023
21,0.250023
21.075,0.250014
21.15,0.250003
21.225,0.250002
21.3,0.250013
21.375,0.25003
21.45,0.250041
21.525,0.250039
21.6,0.250025
21.675,0.250008
21.75,0.249999
