Time,avg(H)
26.925,0.540394
27,0.561306
27.075,0.57054
27.15,0.562702
27.225,0.544324
27.3,0.522895
27.375,0.50248
27.45,0.484843
27.525,0.47079
27.6,0.460319
27.675,0.453369
27.75,0.449686
27.825,0.449067
27.9,0.451411
27.975,0.456912
28.05,0.465693
28.125,0.478138
28.2,0.494804
28.275,0.515087
28.35,0.53795
28.425,0.559339
28.5,0.569704
28.575,0.562874
28.65,0.544905
28.725,0.523688
28.8,0.503365
28.875,0.485894
28.95,0.471899
29.025,0.461583
29.1,0.454609
29.175,0.450822
29.25,0.449905
29.325,0.451874
29.4,0.456772
29.475,0.464816
29.55,0.476366
29.625,0.491861
29.7,0.511372
29.775,0.533652
29.85,0.555444
29.925,0.567684
30,0.563054
