Time,avg(H)
0.075,0.5
0.15,0.5
0.225,0.500001
0.3,0.500001
0.375,0.500001
0.45,0.500001
0.525,0.5
0.6,0.5
0.675,0.5
0.75,0.5
0.825,0.5
0.9,0.5
0.975,0.5
1.05,0.5
1.125,0.5
1.2,0.500001
1.275,0.500001
1.35,0.500001
1.425,0.500001
1.5,0.500001
1.575,0.500001
1.65,0.500001
1.725,0.5
1.8,0.5
1.875,0.499999
1.95,0.499999
2.025,0.499999
2.1,0.499999
2.175,0.5
2.25,0.500001
2.325,0.500002
2.4,0.500003
2.475,0.500005
2.55,0.500007
2.625,0.500009
2.7,0.500012
2.775,0.500015
2.85,0.500018
2.925,0.500022
3,0.500026
3.075,0.500031
3.15,0.500035
3.225,0.500038
3.3,0.50004
3.375,0.50004
3.45,0.500036
3.525,0.500027
3.6,0.50001
3.675,0.499984
3.75,0.499947
3.825,0.499898
3.9,0.499834
3.975,0.499757
4.05,0.499667
4.125,0.499567
4.2,0.49946
4.275,0.499353
4.35,0.499253
4.425,0.49917
4.5,0.499116
4.575,0.499107
4.65,0.499154
4.725,0.499276
4.8,0.499498
4.875,0.499865
4.95,0.500388
5.025,0.500964
5.1,0.50167
5.175,0.502548
5.25,0.503374
5.325,0.504315
5.4,0.505086
5.475,0.505738
5.55,0.50621
5.625,0.506313
5.7,0.505989
5.775,0.50525
5.85,0.504088
5.925,0.502504
6,0.500552
6.075,0.498366
6.15,0.49608
6.225,0.493889
6.3,0.492003
6.375,0.490606
6.45,0.489765
6.525,0.48978
6.6,0.49075
6.675,0.492708
6.75,0.495648
6.825,0.499568
6.9,0.504255
6.975,0.509221
7.05,0.514056
7.125,0.518045
7.2,0.520563
7.275,0.52099
7.35,0.519077
7.425,0.51486
7.5,0.508767
7.575,0.501513
7.65,0.493909
7.725,0.486736
7.8,0.480629
7.875,0.476107
7.95,0.473552
8.025,0.473342
8.1,0.47564
8.175,0.480654
8.25,0.488238
8.325,0.498134
8.4,0.509762
8.475,0.521876
8.55,0.532098
8.625,0.538595
8.7,0.539397
8.775,0.533966
8.85,0.523437
8.925,0.509945
9,0.495964
9.075,0.483243
9.15,0.472813
9.225,0.465404
9.3,0.46134
9.375,0.460825
9.45,0.46386
9.525,0.4705
9.6,0.480596
9.675,0.49355
9.75,0.508843
