Time,avg(flux)
5.25,7.5006e-06
5.28,9.0803e-06
5.31,1.09846e-05
5.34,1.32916e-05
5.37,1.60595e-05
5.4,1.9392e-05
5.43,2.34013e-05
5.46,2.82184e-05
5.49,3.40011e-05
5.52,4.09326e-05
5.55,4.92338e-05
5.58,5.9159e-05
5.61,7.10038e-05
5.64,8.51124e-05
5.67,0.000101888
5.7,0.000121765
5.73,0.000145264
5.76,0.000172939
5.79,0.00020541
5.82,0.000243322
5.85,0.000287323
5.88,0.000338136
5.91,0.000396299
5.94,0.00046233
5.97,0.000536549
6,0.000619021
6.03,0.000709472
6.06,0.000807184
6.09,0.00091089
6.12,0.00101873
6.15,0.00112828
6.18,0.00123657
6.21,0.00134028
6.24,0.00143585
6.27,0.00151974
6.3,0.00158864
6.33,0.00163969
6.36,0.00167065
6.39,0.00168007
6.42,0.00166722
6.45,0.00163256
6.48,0.00157731
6.51,0.00150351
6.54,0.00141393
6.57,0.00131184
6.6,0.0012007
6.63,0.00108407
6.66,0.00096528
6.69,0.000847338
6.72,0.000732774
6.75,0.000623606
6.78,0.000521311
6.81,0.000426852
6.84,0.000340737
6.87,0.000263093
6.9,0.000193732
6.93,0.00013227
6.96,7.81351e-05
6.99,3.07023e-05
7.02,-1.06954e-05
7.05,-4.6749e-05
7.08,-7.81089e-05
7.11,-0.000105379
7.14,-0.00012911
7.17,-0.000149807
7.2,-0.000167891
7.23,-0.000183743
7.26,-0.000197689
7.29,-0.000209997
7.32,-0.000220897
7.35,-0.00023057
7.38,-0.000239167
7.41,-0.000246806
7.44,-0.000253576
7.47,-0.000259544
7.5,-0.000264746
7.53,-0.000269216
7.56,-0.000272965
7.59,-0.000275989
7.62,-0.000278279
7.65,-0.00027981
7.68,-0.000280554
